"pval"	"apval"	"X2_0.97_NA"	"X3_0.96_SBS1.0.94"	"X4_0.81_NA"	"X5_1.0_SBS43.0.91"	"X6_1.0_SBS58.0.87"	"X7_0.94_NA"	"X1_0.97_SBS31.0.95"	"SBS17b"
"SRR1802790_SRR1802664"	0.999997004247039	1	567.030137369974	132.358016087157	0	0	175.190984942967	519.420861599902	0	0
"SRR523590_SRR523488"	0.999997090032855	1	610.466412518856	0	0	0	708.683712739832	680.924640734337	108.925234006975	0
"SRR527366_SRR524089"	0.999997165629338	1	234.815616854364	124.642867891008	68.4037445687472	22.2693711495246	873.928006116377	262.079258874668	83.8611345453112	1.66051870929751e-20
"AP0388_AP0389"	0.999997701436083	1	309.144483451442	400.579911962727	82.3183586485477	38.2319627568582	0	180.408282076528	1070.3170011039	0
"SRR524425_SRR523512"	0.999997733141932	1	612.596017245924	451.281528046162	0	37.3572762273202	307.627301973614	638.13787650698	0	0
"PATIENT_WTS_3_TUM1_PATIENT_WTS_3_BUC"	0.999997864667897	1	0	351.767937085598	184.552557443098	100.489778883977	151.777953510495	284.337951079314	1938.07382199752	0
"ACHSC19"	0.999998126446824	1	384.703359171432	69.6332370197472	0	19.1576676372797	0	0	80.5057361715408	0
"AC63HSCc2"	0.999998145862406	1	621.147184876238	103.499668765921	0	31.0035019261115	48.18407566161	0	55.165568770119	0
"ACMPP29"	0.999998341608921	1	419.811551078827	57.6637328396268	0	0	0	70.5247160815463	0	0
"SRR523789_SRR524736"	0.999998526480858	1	396.462622164314	0	178.731456483048	247.121863031736	400.84409716611	1032.83996115479	0	0
"SRR390572_SRR390546"	0.999998602097	1	376.228467146222	0	1664.13618294664	46.0469500846139	382.110135964994	387.356437367107	166.121826490421	0
"SRR524581_SRR523939"	0.999998874581165	1	180.274481911636	0	0	0	464.521022154159	644.204495934206	0	0
"BCHHSC4"	0.999999030010952	1	335.183613596378	90.5382498472975	2.07281183812848e-22	15.6059818987395	35.276239882835	4.91796838617315e-23	27.3959147747498	8.60149923327101e-24
"CB112MPPC9"	0.999999470420692	1	0	44	0	0	0	0	0	0
"SRR524399_SRR524517"	0.999999574631663	1	0	104.728579942491	88.9412722925731	56.3700368758533	244.609041072778	596.351069816305	0	0
"SRR529101_SRR529152"	1	1	0	0	0	6101	0	0	0	0
"SRR767516_SRR767439"	1	1	1023.38066705259	1507.11887997305	0	32.2879937532996	263.770491530325	0	181.441967690739	0
"SRR524635_SRR524020"	1	1	845.999121691118	0	278.735735520274	54.0587279016264	1733.20641488698	0	0	0
"SRR390636_SRR390671"	1	1	997.245013528442	577.546336047381	311.621081840815	0	272.523011223942	480.441569915033	261.622987444387	0
"AP0394_AP0391"	1	1	1028.03786743969	453.72235180661	146.905735886722	85.9045216681831	146.461770889849	346.6783314163	148.289420892643	6.1055933410327e-24
"SRR767471_SRR767455"	1	1	1035.45095449012	478.26806311529	0	29.6369170582003	201.288735707856	424.317644414691	95.0376852138454	0
"SRR1803002_SRR1802357"	1	1	256.356968667922	270.741121164091	90.3645623667279	23.8201007371947	309.82641981943	950.190763660684	171.70006358395	2.75535712365434e-22
"SRR388383_SRR388326"	1	1	656.488064971408	436.281683621567	0	50.1851214943366	224.041783148107	436.967311495021	121.036035269561	0
"SRR1801385_SRR1800351"	1	1	485.269202427318	235.89358260562	68.1328698760366	23.0983416800504	142.176770099974	547.836105352038	96.5931279589637	6.46794432366602e-22
"SRR524677_SRR522999"	1	1	0	226.68933121527	77.285187212367	0	81.6703754531511	750.200983855591	120.15412226362	0
"SRR1801916_SRR1800363"	1	1	334.624459811844	0	0	0	271.995546790225	535.379993397931	0	0
"ACC55HSC15"	1	1	704.566221996603	0	0	19.2705984639402	0	114.998445973529	71.1647335659279	0
"SRR1802114_SRR1800784"	1	1	0	0	90.1798176682193	15.3673175044606	198.087065706488	503.02916128085	68.3366378399821	0
"AC63MPPc1"	1	1	616.73596432906	0	90.0790234386187	0	45.5892079334984	0	65.5958042988232	0
"SRR523202_SRR523754"	1	1	1.9979857355038e-22	62.6968815773966	50.2963591243124	20.810029452581	140.120489371614	449.948007234456	51.1282332396402	1.18496114698965e-22
"ACMPP21"	1	1	468.154369237055	0	0	11.3790488160207	44.838501514033	67.6280804328918	0	0
"ACHSC7"	1	1	285.418409719381	0	30.9227201297596	13.3817866750078	0	77.7770095104211	56.50007396543	0
"BCHMPP37"	1	1	253.609810351305	0	40.6247694866161	0	30.4997826464038	65.3814822493519	32.8841552663235	0
"CB112MPPO6"	1	1	19.3651627447159	25.6348372552841	0	0	0	0	0	0
"CB112MPPC17"	1	1	12.322949082303	19.677050917697	0	0	0	0	0	0
