"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS35"
"sample_631"	5.51477285822151e-10	5.3327853539002e-07	0	19.0649341338892	0	0	0	59.5765756511833	144.46754349719	0	79.890946717737
"sample_245"	1.69643649529522e-09	1.64045409095048e-06	27.5601446289865	22.8965004236417	35.4306156263001	0	0	0	0	0	42.1127393210717
"sample_711"	2.37810529197461e-09	2.29962781733945e-06	0	0	0	0	0	0	88.6239313001232	0	46.3760686998769
"sample_129"	2.43213529739768e-09	2.35187483258355e-06	0	0	34.8035627830015	0	0	105.931690444375	121.269669118762	0	67.9950776538616
"sample_753"	2.63220220569352e-09	2.54533953290564e-06	0	0	0	0	0	45.5448793964572	65.5918725802184	0	59.8632480233244
"sample_814"	6.66007507391422e-09	6.44029259647505e-06	0	0	0	0	4.51870923231588	0	84.6489924403754	0	45.8322983273087
"sample_159"	7.31831485394438e-09	7.07681046376422e-06	0	19.6042683221881	20.5893828593329	0	0	38.9638012877324	112.422415152708	0	64.4201323780384
"sample_675"	1.02344514259177e-08	9.89671452886239e-06	0	0	0	0	0	28.6826023816384	86.0479546113975	0	42.2694430069641
"sample_520"	1.86146752904279e-08	1.80003910058437e-05	0	0	0	0	0	0	193.232353774892	22.2904195419202	55.477226683188
"sample_717"	3.13208233634536e-08	3.02872361924597e-05	0	0	24.9916096376785	0	13.9025314579345	67.9518159538553	0	15.4134007817525	46.7406421687792
"sample_80"	3.31439028673987e-08	3.20501540727745e-05	89.3259124580912	0	0	0	0	63.4954616375159	39.313180382947	0	67.8654455214459
"sample_596"	6.40056198607246e-08	6.18934344053207e-05	0	44.7160544344629	0	0	21.023121528083	244.575175657511	0	12.9603885355521	68.7252598443914
"sample_410"	9.03751476488427e-08	8.73927677764309e-05	0	0	0	23.2767859399125	0	43.1751459842535	131.174093592323	0	63.3739744835112
"sample_70"	1.64173120238523e-07	0.000158755407270652	0	34.5055160658297	0	0	37.7096359612808	54.1158552149377	24.4468361747502	0	46.2221565832016
"sample_642"	1.80910431573219e-07	0.000174940387331303	0	0	0	0	0	273.099316804366	148.469643163449	0	64.4310400321856
"sample_478"	1.99956561265649e-07	0.000193357994743882	0	0	0	36.5097274747083	0	0	0	104.519634948685	33.970637576607
"sample_909"	2.13255822141818e-07	0.000206218380011138	0	28.2891771539844	0	0	2.98455542185656	0	64.0502889368759	0	37.6759784872832
"sample_785"	2.18219576946668e-07	0.000211018330907428	7.64563582465804e-23	9.05424056422925e-26	37.0239402360665	3.59998179270123e-23	6.09574016340675e-22	534.657376561874	52.4721993245778	16.27414825795	61.5723356195313
"sample_113"	2.74590460986967e-07	0.000265528975774397	4.18824219105569e-22	9.73312712540772e-29	1.50120895827639e-24	70.2560767648041	4.14980161652538e-26	115.863880075025	7.92561084084012e-25	15.3035175745791	52.5765255855919
"sample_705"	3.66990777277376e-07	0.000354880081627223	163.214612786899	7.24630475980355e-31	1.29668075086052e-30	2.56193779726786e-30	1.18980073740938e-29	3.64180889986493e-29	9.66176311136628e-38	1.31382371592303e-30	46.7853872131006
"sample_354"	4.81971656494781e-07	0.000466066591830453	51.2738637018047	0	0	0	0	57.6513606408282	293.255406968769	0	58.819368688598
"sample_86"	4.96761625397088e-07	0.000480368491758984	0	75.2187321073	0	25.5172532906524	0	38.2695002414866	121.308936039194	0	63.6855783213666
"sample_581"	5.07562883463953e-07	0.000490813308309643	0	0	0	0	11.3422366332857	683.783110908409	74.4116833192337	0	62.4629691390716
"sample_687"	5.11983139762073e-07	0.000495087696149925	68.1735398650396	0	0	44.8099145271867	0	0	113.590304318294	24.235142992548	66.1910982969318
"sample_489"	5.79517606250102e-07	0.000560393525243849	0	0	63.0447548080637	0	0	0	276.742173154629	0	67.2130720373077
"sample_776"	6.6152790454459e-07	0.000639697483694619	0	0	48.4593204402148	0	0	35.5141712250824	66.9018924986816	0	38.1246158360212
"sample_38"	7.20098596640198e-07	0.000696335342951072	0	0	124.079696126067	0	101.16271257557	0	115.280037305634	0	45.4775539927284
"sample_335"	7.83609541587131e-07	0.000757750426714755	0	0	0	0	0	223.722740754129	142.680234620105	0	65.5970246257655
"sample_928"	8.26240750856396e-07	0.000798974806078135	4.88542255804884e-26	3.21019598847131e-25	7.67811826663561e-26	2.63148050037592e-26	77.3397134937149	98.5230369498407	100.063114483774	2.75290395422405e-26	46.0741350726706
"sample_830"	9.99243599851224e-07	0.000966268561056134	1.7306783887974e-22	1.06263072669618e-23	1.78542061328573e-26	51.7811840042348	5.61312392069594e-23	8.94684710860634e-23	73.8325267353645	10.0249928567325	43.3612964036683
"sample_616"	1.0742261966662e-06	0.00103877673217621	5.50720990032311e-22	36.5086807285104	26.2802265688134	45.9724849670425	1.01295622516561e-21	26.7703276549938	31.1171954577542	24.5110051502944	52.8400794725913
"sample_213"	1.09003585861269e-06	0.00105406467527847	122.433354817432	55.6106540859423	5.64592668823105e-18	1.91692083914067e-24	3.50363731312688e-21	4.10460504465202e-24	80.5296461422206	169.643697914564	61.7826470398409
"sample_861"	1.22986123118854e-06	0.00118927581055932	0	0	216.061798743621	0	0	0	72.554582802583	0	48.3836184537959
"sample_189"	1.37856912350008e-06	0.00133307634242457	0	43.5459390965175	0	35.3791613102749	0	102.650164803888	0	0	55.4247347893197
"sample_963"	1.38386888328782e-06	0.00133820121013932	41.1159982198714	0	0	40.9786288486757	0	60.3778751395275	161.308297509199	0	54.219200282726
"sample_311"	1.50084831890445e-06	0.0014513203243806	0	0	0	70.0708824409878	0	154.844934121839	80.1927215832018	0	76.8914618539715
"sample_769"	1.58584359106779e-06	0.00153351075256255	4.3767696346241e-17	3.31465431531087e-15	4.31375189936472e-22	70.8837205718299	3.25856218076055e-22	490.69924345765	68.3878366584239	1.14734873808629e-22	66.0291993120959
"sample_592"	1.72713483669083e-06	0.00167013938708003	1.17584021884393e-23	2.24296489193149e-25	2.6663304308497e-23	1.94686223536218e-23	7.78528942442426e-24	496.506849440223	127.993735724262	38.8719749935411	52.6274398419737
"sample_629"	1.7333033397986e-06	0.00167610432958525	0	0	0	44.8385182530033	0	0	0	0	33.1614817469967
"sample_779"	1.79228654353547e-06	0.0017331410875988	0	0	0	35.3696735130745	13.0053287423183	140.111009284684	140.422775208441	0	70.0912132514816
"sample_252"	1.97228621159621e-06	0.00190720076661354	3.52072851615674e-30	5.80206465847024e-29	1.97264847745873e-28	41.940058941126	1.68801759392923e-28	1.2568888739512e-26	366.211389539004	5.13613991601516e-27	44.8485515198697
"sample_182"	2.19728859345968e-06	0.00212477806987552	0	0	0	0	0	0	253.574475568609	0	49.4255244313914
"sample_940"	2.27745818274337e-06	0.00220230206271284	46.4180334447689	0	0	0	0	0	71.5014549242559	45.5449300743896	47.5355815565856
