"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"oxaliplatin"
"sample_590"	0.00314782718449479	1	133.213093023417	0	0	0	23.5841483222976	0	173.090562324021	0	50.1121963302644
"sample_287"	0.00853761525253867	1	236.053781342056	59.5936841518859	120.869603474544	0	0	1392.98731901205	133.723727506427	0	138.771884513035
"sample_83"	0.013977413401306	1	97.338473339557	0	72.7817537275752	391.832063481649	4.10435511662031e-28	123.055098807464	106.708468580789	9.05269040582571e-44	49.2841420629663
"sample_689"	0.0192704404681878	1	270.163094320021	0	0	114.068799609223	0	651.092481311984	113.156886664547	19.9358957066754	88.5828423875506
"sample_77"	0.0301547786798943	1	202.490115678266	0	0	33.0649644927926	0	0	146.574025875324	0	32.8708939536168
"sample_673"	0.033665422683879	1	3.78395391043757e-30	3.11448328948963e-21	1.47231595410246e-29	2.30292092900545e-29	6.64692691805258e-29	3.57395561891238e-29	68.4949915119583	1.40855760060336e-28	6.50500848804165
"sample_431"	0.0339649028012282	1	81.8717818747346	39.1213312724785	92.860655258505	0	0	0	169.13653512815	0	47.0096964661316
"sample_463"	0.0427123262461696	1	0	28.7503188460012	0	31.1945755837621	0	134.312320883897	111.175149422943	0	33.5676352633969
"sample_724"	0.0545380816041562	1	1202.1060865548	0	0	0	26.7495907346995	131.282969653051	201.088399689679	0	108.772953367769
"sample_477"	0.0571739778092548	1	52.8449097442758	0	70.0932254899151	301.667186827805	7.74765339737492	0	57.155866792886	76.8041574900934	36.6870002576495
"sample_563"	0.0624370789096301	1	0	101.398895176522	20.6029351618563	0	0	829.993581419116	111.224910565445	14.1294589345039	34.650218742556
"sample_723"	0.0627499354422823	1	1.09991511011917e-22	110.645774268119	1.10607715730572e-22	83.7564362121951	6.89233409666161	65.1677772159152	167.404326251774	1.83503623927028e-21	34.1333519553351
"sample_885"	0.0642492610853361	1	190.953018935127	218.266664878978	0	134.024596111907	0	355.095403975698	80.6603160982891	0	0
"sample_935"	0.0647265966016354	1	0	0	0	0	0	0	59.1947249275641	12.8499814942228	5.95529357821308
"sample_963"	0.0681290720951087	1	1.94623905689571e-22	25.1353736514857	1.51952364016005e-24	2.27506098828026e-23	75.4371352746646	64.2913416397954	176.780816052966	10.0460629082147	21.309270472873
"sample_407"	0.0768817358850492	1	184.058253738661	0	0	0	0	624.17831529234	108.763430968999	0	0
"sample_152"	0.0832021092991831	1	0	0	0	0	68.6488286419105	772.085168400435	202.266002957655	0	0
"sample_101"	0.0968088734420815	1	0	315.838745454668	0	83.0929442795616	0	1352.4349243205	439.633385945275	0	0
"sample_255"	0.100180881431158	1	114.53110892582	44.9484587796053	0	0	0	0	127.520432294575	0	0
"sample_368"	0.10335750228218	1	511.102123468286	0	0	0	0	155.48988933684	43.4079871948738	0	0
"sample_902"	0.105629120163335	1	0	0	48.6190806698861	0	0	2566.49398462111	194.316248715215	0	53.5706859937843
"sample_811"	0.109630869934639	1	71.5379877357169	0	0	0	11.9010328620721	0	260.560979402211	0	0
"sample_959"	0.118720790531748	1	167.360189035506	0	0	45.4829096937989	0	245.895635562719	114.326069118215	0	49.9351965897605
"sample_757"	0.12249887732559	1	0	0	0	0	30.5851196402777	221.141080570303	0	58.91994002832	11.3538597610995
"sample_659"	0.123887330901719	1	0	14.8879930019929	0	0	35.5735108923459	1145.28654235093	102.251953754727	0	0
"sample_224"	0.129004011435595	1	0	16.0205268777628	109.540230202104	0	7.40762666650894	110.714627883476	149.542946367237	0	26.7740420029106
"sample_385"	0.132773353801035	1	0	0	0	0	0	183.520945451644	28.4341648883021	73.0448896600539	0
"sample_412"	0.132812471989889	1	261.742128366215	0	0	0	0	0	42.4555251935478	0	14.8023464402374
"sample_921"	0.140931238911609	1	0	0	0	0	0	1383.14063879148	607.506589789731	0	65.352771418787
"sample_234"	0.148767441757634	1	0	0	0	86.6132786865974	0	2660.80739549892	54.944596763895	0	85.6347290505889
"sample_684"	0.150491928144042	1	75.8290353807516	162.090609661877	60.9206032291606	0	0	0	298.159751728211	0	0
"sample_418"	0.15121788548544	1	0	0	0	0	5.3473782642477	2070.38125744898	0	47.1506740850284	44.1206902017423
