"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS17b"
"sample_60"	4.50138069608698e-46	4.36183789450828e-43	0	0	0	0	0	0	104.504763753273	0	145.495236246727
"sample_389"	4.35971318872644e-42	4.22456207987592e-39	100.145600530362	0	0	0	0	78.4898595577627	0	151.791124637683	129.573415274192
"sample_718"	2.23685433974648e-40	2.16751185521434e-37	0	68.4743166130923	0	0	6.30748736748031	0	169.479188831867	0	128.739007187561
"sample_302"	2.91817503981631e-40	2.827711613582e-37	0	20.058010311431	0	0	0	0	134.682754763052	0	135.259234925517
"sample_211"	1.50650180106448e-39	1.45980024523148e-36	0	0	0	0	0	0	172.41570166236	0	119.58429833764
"sample_716"	2.09978070922259e-39	2.03468750723669e-36	152.659368223131	57.0520780112678	0	0	0	261.227810540094	150.16009781074	1041.9485284367	136.952116978065
"sample_976"	2.56148045912053e-39	2.4820745648878e-36	36.9941891583289	3.26242450150724e-22	1.06175342718666e-21	1.69866585598093e-23	6.16421690170694e-22	45.0218558936301	251.163740273646	9.8657457387338e-23	125.820214674395
"sample_175"	3.15120525670491e-39	3.05351789374706e-36	65.5667475444223	0	0	0	0	113.711824700762	63.7418597756973	0	140.979567979118
"sample_424"	3.27876679853236e-39	3.17712502777785e-36	54.9778434312313	0	0	0	0	0	179.340982681179	0	100.68117388759
"sample_111"	4.07194611654903e-39	3.94571578693601e-36	0	160.002027963239	0	0	0	55.4077454537798	103.266324085048	0	120.323902497933
"sample_233"	9.57848048719899e-39	9.28154759209582e-36	37.4788332521771	0	0	0	0	0	0	0	107.521166747823
"sample_47"	2.42572148272595e-38	2.35052411676145e-35	1.11171679360872e-21	9.90133122473238e-23	2.33536576262379e-21	35.60837212228	17.0062609840049	72.748641455153	3.19680374371958e-21	207.632286545748	100.004438892814
"sample_381"	3.08351314702064e-38	2.987924239463e-35	114.141249321545	0	0	0	0	0	0	0	120.858750678455
"sample_833"	7.45679820560985e-37	7.22563746123595e-34	88.6218959715794	0	0	0	0	84.9753984828992	94.8882910143899	0	150.514414531132
"sample_884"	9.64262893314869e-37	9.34370743622108e-34	8.60176572429672e-24	29.5511222465733	1.39064777576453e-22	1.00348440902388e-23	0.396667004583656	66.0727734141937	54.9507878633377	5.95134843993629e-24	110.028649471312
"sample_602"	1.2603902362654e-36	1.22131813894118e-33	0	282.55883715982	0	0	7.23815554857174	691.629704918636	104.880055570214	14.5510780084214	148.142168794337
"sample_316"	2.04984733642494e-36	1.98630206899577e-33	0	0	0	0	0	0	79.4715611927125	0	96.5284388072875
"sample_250"	4.19694014990802e-36	4.06683500526087e-33	261.096863907808	0	74.4135143579943	0	0	125.309936583097	0	0	180.179685151101
"sample_719"	4.38552895835744e-36	4.24957756064836e-33	108.119723489306	114.926816378325	0	0	0	75.1304840582667	166.293462936753	0	151.52951313735
"sample_821"	8.4688680948897e-36	8.20633318394812e-33	241.242045050535	0	0	0	0	288.263783583002	44.4678678200804	0	178.026303546382
