"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS31"
"sample_996"	5.17327249954631e-07	0.000502324759705946	0	0	0	0	0	0	49.8215998661199	0	29.1784001338801
"sample_53"	1.3080447386223e-05	0.0127011144120225	5.20354472732933e-24	1.08774052965578e-24	7.03254660929361e-22	54.1389379963587	1.17371406124776e-25	2.0999231991413e-23	2.95345849692266e-24	9.48785509396582	14.3732069096755
"sample_466"	1.41225583966605e-05	0.0137130042031573	0	0	92.6201318736003	0	16.2848490827496	0	38.1100356689159	32.489415228307	41.4955681464272
"sample_924"	1.73519199535885e-05	0.0168487142749345	1.41671115729563e-22	5.52734265214785e-29	99.3471222659717	72.6129560534987	1.18931328550617e-22	0	44.4948746558248	4.95321705955762e-22	23.5450470247048
"sample_752"	4.00685210695685e-05	0.038906533958551	68.8320616514691	0	0	0	0	0	155.4560306179	0	51.7119077306314
"sample_180"	4.21966197494858e-05	0.0409729177767507	0	0	0	39.0635393814269	0	0	0	13.6918490904147	29.2446115281584
"sample_790"	7.9505407158428e-05	0.0771997503508336	7.57403960807508e-24	9.84980117460852e-23	1.83747405413996e-27	1.02651785880913e-21	5.67714477780691	3.72976825860958e-28	341.822001845675	10.1609939598445	29.3398594166741
"sample_355"	8.61485914623336e-05	0.0836502823099259	0	0	0	0	0	15.4597575027323	0	0	23.5402424972677
"sample_89"	0.000158277909034648	0.153687849672643	0	33.6768582290235	0	0	10.4764183626596	56.7662150112303	132.209695857375	15.5362285390408	48.3345840006704
"sample_647"	0.000191361027250108	0.185811557459855	0	0	0	0	16.8185844338493	28.7811042487657	182.547583110028	0	35.8527282073566
"sample_808"	0.000232484532963754	0.225742481507805	0	46.2499678396306	0	0	0	204.255796436666	201.466508111764	0	85.0277276119394
"sample_900"	0.000273964774433518	0.266019795974946	24.3137362000297	0	0	0	0	0	209.906383845426	0	45.7798799545448
"sample_198"	0.000276572008311673	0.268551420070634	21.5044370248048	9.26655812405364	0	0	0	18.4578389601769	0	0	27.7711658909647
"sample_486"	0.000279117692305656	0.271023279228792	29.2137729278224	0	0	0	0	0	409.59235457011	0	50.1938725020678
"sample_481"	0.000333298661070106	0.323632999899073	31.0755625394588	0	135.648182625399	0	0	0	63.0717030731783	0	54.204551761964
"sample_966"	0.000425264160814933	0.4129315001513	97.6807944288041	0	30.6194073879214	0	0	0	171.926549216273	232.698770888384	50.0744780786178
"sample_704"	0.000478156763392295	0.464290217253918	0	0	0	270.577228472401	0	0	85.5653432827967	38.6951617808877	28.1622664639149
"sample_14"	0.000484823754641419	0.470763865756818	5.60909589135136e-22	9.17385679117129e-22	123.412533305131	6.99344365984855e-22	8.23869171648963e-21	6.64206938543871e-23	132.378392357019	11.3806624204351	25.8284119174153
"sample_773"	0.000509131280461395	0.494366473328015	0	0	0	48.9843294701975	0	62.4109053030997	71.5935493354138	0	52.011215891289
"sample_209"	0.000514298866656213	0.499384199523182	4.00647764368754e-25	24.7158149513852	3.10938205592027e-25	80.9260864796752	9.397366558197e-26	24.149357998592	155.420693750442	33.8547671644437	36.9332796554615
"sample_148"	0.000579845731932079	0.563030205706049	0	21.1064505190602	45.012980958835	0	0	438.016124088506	52.8041719050129	0	93.0602725285863
"sample_824"	0.000588104867563963	0.571049826404608	0	0	0	0	6.71929392127863	0	152.542775635903	0	20.7379304428183
"sample_226"	0.00066995311039634	0.650524470194847	0	83.4972264479748	58.4092311275188	0	0	0	35.321590609724	0	27.7719518147823
"sample_797"	0.000689139623550722	0.669154574467752	96.0550944400552	0	182.443354979441	0	143.24446924864	0	102.961169969038	0	43.2959113628255
"sample_342"	0.0010612032822985	1	0	0	43.2626887804555	105.376244170393	0	0	101.24407570988	0	31.1169913392718
"sample_42"	0.00132752071647114	1	0	0	0	0	9.88150051468558	0	53.144475725511	0	23.9740237598034
"sample_97"	0.00150806548224605	1	0	0	68.1364713439791	45.2528081905802	0	0	131.441306973585	0	26.1694134918552
"sample_365"	0.00192482652240782	1	0	0	0	0	0	107.8467438971	223.657508629519	0	35.4957474733807
"sample_121"	0.00218209271937447	1	0	0	0	0	0	63.3410083931167	207.973773874909	0	42.6852177319742
"sample_360"	0.00262531291970874	1	0	74.7707305398409	0	32.2725492679825	0	88.1570159558048	78.1318073030334	0	44.6678969333384
"sample_526"	0.00273126962998585	1	49.0311481379541	0	0	57.0347968264606	0	107.211335902429	74.2659143593094	0	55.4568047738473
"sample_896"	0.00295624849973806	1	1.67159534984185e-22	35.4620070442104	11.3802382235388	45.3311267132549	1.63692134355576e-21	75.1769848213886	249.295952000529	1.9393130747636e-22	37.3536911970785
"sample_737"	0.00296609053012226	1	92.3091680625235	21.5904931824481	0	0	0	164.639211690979	156.023418068819	0	64.4377089952302
"sample_496"	0.00340190413342773	1	0	0	0	0	0	616.424402196789	237.087515617446	0	65.4880821857647
"sample_606"	0.00341180376659493	1	0	0	0	0	0	0	32.6636268611394	0	16.3363731388606
"sample_675"	0.00344571281822688	1	0	80.5019833405283	25.9927444402511	59.1410671717391	0	0	102.265859672004	0	40.0983453754772
"sample_764"	0.00378311201348683	1	95.733146723798	0	0	71.5324403780482	0	220.903252832823	0	0	70.8311600653305
"sample_978"	0.00385201024951601	1	44.3757269171329	41.1540671474077	26.6003054891416	44.723035704329	0	0	64.7466100701276	0	43.4002546718612
"sample_330"	0.00406917291576044	1	0	185.839179348806	66.3402558772651	0	0	121.724143748762	130.587540240353	0	69.5088807848139
"sample_623"	0.00493454978873556	1	75.7622693659363	0.249965713728934	1.045343783267e-24	131.555452913155	6.61694289621691	2.65342201094501e-23	214.432292626259	7.05890103157498e-21	39.3830764847043
"sample_535"	0.00520235628102959	1	68.027850213171	74.7085586961622	0	60.4161002945412	0	0	71.3332417301207	0	35.5142490660049
"sample_56"	0.00571143312405649	1	0	0	0	0	11.2023384163111	182.951545636798	469.76238682056	0	52.0837291263304
"sample_542"	0.00646436031404798	1	0	0	19.8019876780128	37.1822341831944	4.81347619702276	86.3902685666405	115.517947326489	29.4318103318629	46.862275716778
"sample_826"	0.00688201015316825	1	0	0	19.8282123069429	0	0	399.355117774073	212.722161961345	31.2241828996439	81.8703250579951
"sample_950"	0.00700214558917437	1	81.7924778849615	0	67.5859142200352	0	0	0	32.205199525052	61.9671432023033	42.4492651676479
"sample_811"	0.00704287181021778	1	89.6310062728611	1.66341914003434e-23	50.3577089968726	74.6501540084068	8.06123636859999	4.42646832409966e-22	124.897341561926	0.334891230626633	33.0676615607071
"sample_48"	0.00723938575811067	1	0	0	63.3642447313051	102.397736620469	20.2309217673858	1236.16576746626	155.302120327975	0	142.539209086608
"sample_95"	0.00741311013260146	1	0	0	0	0	0	104.725629104521	92.2206266282162	0	40.0537442672631
"sample_775"	0.00942169614136586	1	0	0	31.7039200543557	571.19569088725	0	0	200.605207797128	0	26.4951812612664
"sample_241"	0.00960975445874743	1	6.93956698506503e-22	94.3202943730131	1.14538426616593e-22	16.9068766163844	15.9580612942679	5.39745927480229e-23	76.493857635043	2.40134025619779e-22	21.3209100812915
"sample_638"	0.0107132682541386	1	1.46763076077411e-22	27.1860015675075	43.5835070961768	77.8763841073464	4.0568454790419e-23	238.708974605165	136.480229922671	13.9101903876604	49.2547123134731
"sample_607"	0.0112653244536684	1	0	25.4811297002862	0	0	10.5784876589646	108.312988768358	113.578000804803	0	35.0493930675876
"sample_701"	0.011427415625801	1	0	0	0	0	0	159.393914764234	80.2818400385263	0	41.3242451972401
"sample_662"	0.0120102648472703	1	0	0	0	0	0	55.9872990185225	30.2019754342916	30.4962674440724	29.3144581031136
"sample_206"	0.0122191491455588	1	0	59.6202206261712	0	0	23.3993090120403	44.289320320411	76.1539914296546	15.125089362116	29.4120692496068
"sample_742"	0.0135186026926469	1	55.0456567818439	4.66110572766029e-22	51.0341874649357	117.220853046808	16.3072539830104	40.1376457387312	111.482861890611	3.16936567980686e-22	34.7715410940595
"sample_29"	0.0138788643657137	1	2.81758999111846e-22	114.490743272323	2.35054611636498e-20	1250.45240641878	5.33367453234029e-22	100.409828227803	2.82116843453366e-22	6.04513045048494e-22	41.6470220810901
"sample_317"	0.0142615348592638	1	0	0	57.5461073650331	0	0	79.6002600509131	137.021767659957	0	23.8318649240968
"sample_755"	0.0146902485119831	1	251.109185804757	0	0	0	0	310.998577596667	0	0	61.8922365985763
"sample_595"	0.0147609434069208	1	0	0	0	25.7102425605354	21.8958644159031	33.6287767813647	39.7936498534152	0	20.9714663887815
"sample_417"	0.0153574426484473	1	0	0	0	53.1001503469023	0	0	327.034515469589	0	36.8653341835088
"sample_866"	0.0164422178708412	1	0	0	78.5815306625863	50.2443727292303	7.98618579773108	1230.14917460082	0	49.7090165960101	103.329719613621
"sample_386"	0.0164892067716457	1	45.7393756030703	0	0	0	0	43.3766290141529	44.3699310916671	0	26.5140642911098
"sample_888"	0.0168307041269718	1	0	0	0	0	0	19.2358010416098	75.4238778343175	12.781438431066	18.5588826930067
"sample_600"	0.0190384584941406	1	0	0	0	117.646338302351	0	68.1104996023976	71.388181843146	0	26.8549802521053
"sample_66"	0.0191488929579774	1	0	0	0	0	0	0	446.25977517169	0	19.7402248283098
"sample_963"	0.0191925666449188	1	0	0	40.4703958258643	0	0	129.126468791452	146.265063984568	0	24.1380713981156
"sample_333"	0.0193148155900007	1	74.1380222608503	0	0	0	0	0	53.5202923036952	0	26.3416854354545
"sample_719"	0.019618597914188	1	3.44150244675769e-22	37.6057686365948	1.36456176492023e-23	4.50433925233486e-24	1.1119155559382e-24	108.623026449584	235.357664860695	39.9887470592105	28.4247929939163
"sample_163"	0.020174463559403	1	72.8942028461176	0	0	0	0	150.291145442059	82.7391230864653	0	38.075528625358
"sample_2"	0.020427392325427	1	0	0	230.650184204622	135.95639490695	12.7879634301541	0	61.5181627617208	0	25.087294696553
"sample_957"	0.0216986000871466	1	0	0	17.7176193272763	34.1566867577885	0	91.705175148066	90.4648595597809	0	33.9556592070882
"sample_437"	0.0218228661226968	1	49.3432685517239	0	0	0	0	58.2287536191696	61.0556538404183	0	33.3723239886883
"sample_608"	0.0219329206965663	1	78.0790171869367	8.81211402314925e-21	9.43488737190209e-28	136.336222425992	1.63711552402381e-28	238.078075156889	120.264722992499	2.07444688473957e-27	47.2419622376837
"sample_181"	0.0222168674529798	1	0	0	12.9532969689981	0	0	195.798987728814	180.029694608661	0	67.2180206935261
"sample_376"	0.0228533696327016	1	0	0	0	0	0	0	104.465985753524	0	15.5340142464762
"sample_155"	0.0229561097526209	1	54.5859529142395	145.076883158517	1.06897488346656e-22	3.22188897302923e-21	716.751174173449	62.8718471858836	222.776963637727	5.79076873948522e-23	38.9371789301846
"sample_895"	0.0229567852882124	1	0	63.8371923701486	0	78.3710190329935	0	161.540994427188	0	0	36.2507941696702
"sample_459"	0.0232372163941656	1	1.65521828955197e-21	6.88165831115994e-23	1.48546921840624e-21	198.544105313888	2.41915240284821e-22	54.8331661055268	280.395493938884	15.457081647921	24.7701529937798
"sample_195"	0.0234209858506668	1	83.9726903328476	0	52.7229774734084	95.8994513252559	2.77047833269662	0	87.6377326951854	0	34.9966698406061
"sample_380"	0.0246104258521107	1	0	73.8386041115423	0	95.5646271163227	0	70.0284282636519	84.2591501994681	217.184436930731	39.1247533782843
"sample_329"	0.0251534633215161	1	54.9111206208611	0.446892654475668	5.11072673261343e-24	0.35971889266727	4.91400531947485e-23	22.4379654283835	1.17669406008921e-21	4.12929605976253e-25	18.8443024036125
"sample_799"	0.0257614086970757	1	0	0	0	0	0	252.765674931808	86.288165848395	0	43.946159219797
"sample_580"	0.0260034279453547	1	0	0	0	0	0	46.3257295324835	64.4142675479379	0	33.2600029195786
"sample_747"	0.0260122456210039	1	0	36.57082306416	27.8621171223023	0	0	90.175513463315	102.299950430542	0	38.0915959196804
"sample_850"	0.026111751814969	1	0	0	0	0	10.9843006093451	548.375336272566	95.7296397653124	0	36.9107233527763
"sample_267"	0.0261255294516668	1	1.05203348780013e-18	2.4318184469148e-29	2.19963537800665e-27	46.1569876285148	3.72021484295783e-29	80.9035108635331	1.09985350001241e-29	9.41206622883536e-29	15.9395015079522
"sample_907"	0.0267595989774147	1	83.0421595993737	0	0	63.1716580599037	0	91.9509942565703	90.7257646578007	0	37.1094234263516
"sample_686"	0.0278137960708029	1	0	0	539.319773087906	0	0	64.9803529640786	94.5000972458216	0	32.1997767021934
"sample_469"	0.0278711164427085	1	2.08740874659482e-23	7.41621200744046e-27	4.92500656915796e-28	61.4542960717938	1.2525738224274e-24	8.2572391915978e-22	183.913476680818	0	10.6322272473879
"sample_90"	0.0286235097266562	1	0	0	0	104.96304310172	0	279.04203573335	100.256331068161	0	46.7385900967693
"sample_262"	0.0290231451640728	1	119.485066595707	0	0	26.2073644381846	0	0	111.417859095309	0	30.8897098707989
"sample_46"	0.0292771717370526	1	28.4347747182137	0	0	35.3105568176656	0	0	228.096278713053	0	23.1583897510675
"sample_664"	0.0301560600924088	1	111.186867231152	29.9689307857121	0	79.5888930006248	0	0	131.462579000168	0	33.7927299823437
"sample_658"	0.0308286007553788	1	0	63.5476777941098	0	39.350188490825	0	165.315687993371	52.4898546958514	18.4394550983924	38.8571359274503
"sample_88"	0.0316583291087487	1	171.33320287203	4.14138969928978e-24	8.01266132399486e-25	135.905632450087	9.90236829508075e-26	64.2889444288434	247.021957159085	5.43991317841877e-22	52.4502630899543
"sample_738"	0.0317574745148393	1	125.196303575345	33.3765524355802	46.3549994556201	1.17424047280314e-21	4.26481074880949e-21	78.9760524520407	169.809216395874	1.1941248011963e-19	42.2868756855394
"sample_247"	0.0324264824839639	1	188.556008181033	0	0	0	43.2718613207869	0	183.976079402747	8.67546930015229	31.520581795281
"sample_162"	0.0327117821982738	1	0	0	51.8952483850219	42.7482984421002	10.8965166264687	38.5521972520398	0	0	29.9077392943694
"sample_694"	0.032850702691677	1	174.916778969276	0	0	0	0	0	80.0446310045334	0	38.0385900261904
"sample_420"	0.0329383394686487	1	47.7775928501112	0	33.2872312997398	55.4473303889925	0	0	0	5.46638103704398	19.0214644241126
"sample_498"	0.0329588256121913	1	0.165204136914469	44.9626961033085	6.02431086069925e-23	539.826476293351	7.83530708596764e-22	173.789765792947	210.684250218846	3.10222267875636e-25	42.5716074546323
"sample_938"	0.0333388716451142	1	103.232120056201	0	0	83.6701983075062	0	0	159.625659343762	31.7453054065207	36.7267168860106
"sample_562"	0.0335505880185448	1	98.0599852435964	0	0	0	0	58.3176688566322	208.371684521615	0	32.2506613781568
"sample_100"	0.0345064441058582	1	0	91.2298531527095	36.179304995368	0	0	240.893784038784	463.217502526203	0	51.4795552869355
"sample_536"	0.0349885103825038	1	0	0	0	0	132.169161695321	0	499.875940986424	13.242308334104	47.7125889841505
"sample_243"	0.0351140599037474	1	168.913116009699	110.162945447428	213.266386769056	210.737697938319	14.2823486431833	1.09724178252126e-21	67.1048391114098	3.43152054609764e-22	45.5326660809034
"sample_879"	0.0357669436709303	1	0	0	20.4263449509338	32.5650767230578	0	214.520546043879	107.502021369608	0	34.9860109125221
"sample_159"	0.0378398444301378	1	116.281553827838	32.0091545696081	9.30314655767951e-23	1.54532989837164e-23	3.99906760699869e-23	264.573704782861	273.781816611679	2.05048711106057e-21	53.353770208014
"sample_178"	0.0384565231550478	1	112.48036391221	3.33046942550139e-30	1.58170901687725e-23	165.914291513335	2.37493979695063e-26	1.35839579507546e-25	252.3620724263	4.41425972046674e-23	33.2432721481547
"sample_629"	0.0389865826718932	1	0	0	36.1408462311298	0	0	470.368990267102	136.286666367794	0	76.2034971339742
"sample_26"	0.0406800779840487	1	0	26.4842364784792	0	36.4855712593411	0	360.082578954133	176.519884973638	0	38.4277283344087
"sample_818"	0.0407944935545273	1	194.127056950158	4.36010875056267e-23	7.37032620408402e-27	150.332172876098	7.99600621523339e-26	5.67358531987648e-27	202.373477560298	5.32603559799268e-23	28.1672926134455
"sample_863"	0.0409506055793927	1	0	0	59.9793123355766	49.5746579561587	49.3055433703261	230.377088175804	56.9760068766235	83.9229309019174	36.8644603835935
"sample_923"	0.0410783864465024	1	0	0	0	52.6342669475485	0	117.048148061103	377.606133984896	0	42.711451006452
"sample_882"	0.0411112095803377	1	76.276460745797	1.18772543603193e-30	4.35648317255337e-29	1.48325323657442e-27	6.30475799045541e-21	1.16155688527767e-30	119.962047323991	3.83889508970435e-28	19.7614919302124
"sample_203"	0.0411822260666538	1	3.57680757821634e-23	9.9673035052545e-25	29.4363568625593	32.7999444593055	1.75298640901852	102.521001716273	3.79755703143178e-23	2.77388303067395e-24	18.4897105528442
"sample_38"	0.041864687181693	1	0	0	79.1480010579599	46.3929355941285	0	241.579244019161	94.9826842014247	0	44.8971351273262
"sample_642"	0.0429194058504202	1	0	47.6091420227751	0	0	0	171.738126465746	76.7429082531445	0	46.9098232583346
"sample_74"	0.0431157012479264	1	0	52.5432439964059	0	98.8912523590674	0	370.465130468331	32.9513656543032	0	74.1490075218922
"sample_796"	0.0442202242611634	1	4.39758889794386e-25	7.28552700291059e-28	1.07715287401846e-26	78.2282348095412	6.88103817097239e-25	83.9936275251482	196.559285324916	0.212206703556149	23.0066456368387
"sample_563"	0.0443455933606685	1	1.03987987970179e-22	63.4040750379694	2.75617329033162e-22	28.5076564601649	2.90933759969295e-23	94.7833775532114	98.8690545703269	5.74716970509269e-22	21.4358363783274
"sample_602"	0.044554501001276	1	0	0	47.6725339515228	98.9705590566613	0	93.1467335925153	606.555861041306	0	33.6543123579945
"sample_777"	0.0452500701229753	1	0	34.5466358870292	0	57.4112281956638	0	0	576.642650458831	56.0018954530746	21.397590005401
"sample_598"	0.045410000562398	1	0	0	0	0	19.5571709681659	173.351498781537	109.605621785418	0	21.4857084648795
"sample_223"	0.0458381974723868	1	86.1328205095318	0	51.5001001179594	63.3200521775467	5.77763014901762	58.7235476315252	63.8425776202718	0	37.7032717941474
"sample_949"	0.0464299755896249	1	3.88795994451333e-22	5.46368814425503e-21	2.0713741508682e-21	37.5795112032538	3.52617059671759e-23	159.588927255699	267.159037629441	7.84692009780395	32.8256038138022
"sample_985"	0.0471291522337922	1	88.3992592556013	0	0	0	0	190.615185019067	0	0	64.9855557253313
"sample_865"	0.0471545165319407	1	7.93443345170547e-20	4.76772664183518e-21	60.0422440371359	2.05565516157374e-20	5.31689680920773	347.473732201268	66.4526821447797	0.433084674521979	24.2813601330868
"sample_550"	0.0475409335050117	1	0	41.0349085394768	0	41.905269197476	0	119.307927941687	169.91771097325	0	24.8341833481101
"sample_645"	0.0477800553025009	1	0	0	0	43.0758608096115	8.25763742428805	39.9687018475382	262.542512603274	0	33.1552873152882
"sample_306"	0.0480647927408496	1	0	0	0	0	0	53.0379378278009	246.184103053212	22.94315862087	16.8348004981171
"sample_833"	0.0486581230110226	1	0	0	0	42.0336773174966	0	159.474539715619	73.8197301091033	11.4668877244878	28.2051651332938
"sample_502"	0.0492611127298828	1	0	0	0	0	0	253.462141686939	97.3480974114156	0	22.1897609016451
"sample_383"	0.0502680208802087	1	309.147770478808	0	0	34.0281704059913	0	0	100.5390269328	0	33.2850321824011
"sample_201"	0.050411603385798	1	330.152124540787	0	0	0	13.8200830320751	0	243.590276143044	0	41.4375162840932
"sample_401"	0.0508338685103247	1	0	0	0	50.5418741921997	0	34.9912917721638	353.290474527063	44.3713146855303	28.8050448230428
"sample_65"	0.0508573597653043	1	1.70084526053097e-23	4.25132455425149e-23	2.53843557027819e-23	2.13049692669698e-24	0.253131807271615	30.4710925006234	174.875487530671	0.334301841939973	12.065986319494
"sample_571"	0.0511583654427059	1	44.6016709798184	47.6871615815879	82.8266458835603	49.7799454116819	0	0	169.104576143351	0	0
"sample_248"	0.051824216364376	1	222.293815307146	0	0	74.4091295628084	12.8016704318915	0	197.587946319858	20.8787495105166	36.0286888677797
"sample_140"	0.0519403985963719	1	0	0	0	0	18.7565232260254	106.852416511317	40.3910602626579	0	0
"sample_587"	0.0522214394324837	1	97.6695687253601	0	0	0	0	356.796383968381	115.475342345194	9.05870496106533	0
"sample_935"	0.0522332841751819	1	381.077849340439	0	0	0	13.9376520589563	551.089830308361	230.894668292244	0	0
"sample_16"	0.0522518320157856	1	0	32.1795536134942	0	102.392119442589	3.27614742737277	70.0339789933662	63.1338154020106	0	30.9843851211676
