"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS31"
"sample_276"	2.66025785774752e-19	2.56714883272636e-16	0	0	0	0	53.2597675378581	0	0	0	115.740232462142
"sample_484"	3.89414439063323e-19	3.75784933696107e-16	0	0	0	0	0	0	81.2919641169673	0	102.708035883033
"sample_715"	1.95443038337694e-17	1.88602531995875e-14	0	0	0	0	0	59.8178440882582	35.2371705522185	0	131.944985359523
"sample_250"	2.62699612878852e-16	2.53505126428092e-13	0	0	0	46.9269222688232	0	0	57.7170484056837	0	108.356029325493
"sample_513"	3.15841429016955e-16	3.04786979001362e-13	0	0	49.3618798019199	0	12.1613435914084	0	0	0	69.4767766066718
"sample_457"	1.35372521251917e-14	1.306344830081e-11	0	0	30.1097831276817	0	0	28.5941585001552	0	0	92.296058372163
"sample_910"	1.4472757937231e-14	1.39662114094279e-11	0	0	11.8741153583839	0	0	45.5180588646271	64.7389793438214	0	123.868846433168
"sample_132"	1.8760283288585e-14	1.81036733734845e-11	6.22245174902966e-24	51.7309914531031	3.24242487742394e-25	7.05254539050954e-21	1.99132970184454e-24	25.3342487958536	52.6014831264287	4.40211841317322e-27	102.333276624615
"sample_563"	1.98656040407482e-14	1.91703078993221e-11	3.09216511282002e-23	5.30986362601542e-29	6.91119529801769e-22	4.12014674027497e-23	2.17208430193646e-23	55.8037782901758	73.2438476305702	0.104801172757348	94.8475729064966
"sample_20"	3.04811985579387e-14	2.94143566084108e-11	0	0	0	0	0	0	128.476285254881	0	89.5237147451193
"sample_115"	9.84748946500537e-13	9.50282733373018e-10	59.2045264503365	4.05099892633087e-26	8.74234957364588e-26	0.123402079576289	70.0725906865495	56.0373636754019	88.8359117043937	2.75397752886431e-24	121.726205403742
"sample_726"	1.37246812619266e-12	1.32443174177592e-09	0	0	0	24.3515893335775	0	0	128.501116752928	18.985021702109	103.162272211386
"sample_410"	1.49921155946358e-12	1.44673915488236e-09	7.0539092233092e-23	2.64679233736248e-23	1.25408925688517e-23	75.9828596670659	1.87113784345205e-28	1.85327221317973e-22	66.4889745849977	0.416397873475052	65.1117678744613
"sample_969"	1.62785426060138e-12	1.57087936148033e-09	0	141.792846704244	0	0	0	19.7662018804315	0	0	84.4409514153241
"sample_827"	9.15831713641714e-12	8.83777603664254e-09	0	0	61.8517252859639	0	0	92.524195335301	200.573321728037	0	100.050757650698
"sample_828"	1.9985722225942e-11	1.9286221948034e-08	3.08428279956896e-25	1.15543844498974e-23	186.554812939966	64.4411462685198	18.9783738622912	7.40695717996551e-24	158.446864963147	5.71906699793701e-20	66.5788019660759
"sample_784"	9.53909027012583e-11	9.20522211067143e-08	55.5483249476152	0	0	0	0	40.1240650381049	127.210122665016	0	110.117487349264
"sample_968"	1.17918594333927e-10	1.13791443532239e-07	0	0	0	37.072172839523	0	0	47.7387275581857	6.30051062648691	71.8885889758044
"sample_810"	1.43366891709191e-10	1.3834905049937e-07	0	0	76.7477014819706	43.068724542816	0	50.0925866822379	75.9350773012773	0	114.155909991698
"sample_327"	1.54797023297932e-10	1.49379127482504e-07	0	43.4189787489713	0	0	0	0	83.6113156082853	78.4382518947322	97.5314537480112
"sample_270"	2.52822659748892e-10	2.43973866657681e-07	0	0	0	138.637581258887	0	0	0	0	70.3624187411129
"sample_166"	2.82876808259989e-10	2.7297611997089e-07	0	0	0	404.133622080118	116.988185460436	0	98.4156128305858	0	84.4625796288604
"sample_946"	3.88029699815101e-10	3.74448660321572e-07	0	0	30.6228046913556	90.1668024367421	16.5273278436817	0	0	54.3384047592083	88.3446602690124
"sample_473"	4.32891271314669e-10	4.17740076818656e-07	2.16943769874425e-22	0.242767205373439	3.60500655639685e-23	68.1682753970077	8.08434590827404e-22	5.29298039334524e-23	182.640193913163	22.8668958780477	94.0818676064084
"sample_176"	7.88179700209916e-10	7.60593410702569e-07	0	25.7033283980858	0	61.8676666905906	24.2120919366565	78.9415852715938	80.0568216558344	0	130.218506047239
"sample_823"	8.72220929919341e-10	8.41693197372164e-07	0	0	101.650311755356	0	0	0	73.9130502014644	0	78.4366380431795
"sample_409"	8.72874416362698e-10	8.42323811790004e-07	0	0	76.5730997351883	0	0	0	136.41536082411	0	72.0115394407016
"sample_452"	1.11921756518639e-09	1.08004495040486e-06	0	0	0	0	0	65.9524301536708	0	18.9744465011926	76.0731233451366
"sample_44"	1.64111595473557e-09	1.58367689631982e-06	0	0	0	0	0	41.4998843042672	84.0346436135617	0	85.4654720821711
"sample_724"	2.35967671914045e-09	2.27708803397053e-06	49.4809799227243	1.06468605633543e-22	7.76560625110704e-23	4.66644076152715e-21	13.1862878765177	64.6364778624803	227.488581481695	1.50902737159142e-22	108.207672856583
"sample_540"	2.49028552228353e-09	2.40312552900361e-06	0	35.1408625411386	0	199.687750509145	0	0	233.832571773725	0	95.3388151759922
"sample_296"	2.5528744235691e-09	2.46352381874418e-06	3.19953609718441e-23	1.40985573774645e-23	51.9166636007788	3.57770769163225e-22	1.21994473719464e-22	39.6907787139913	137.158381738406	0.20900683252004	63.0251691143036
"sample_712"	2.55722589099806e-09	2.46772298481313e-06	27.789103598107	112.917454534308	48.2996267673621	9.21470797563561e-23	2.04769100944688e-22	4.68880442089862e-26	119.429355604612	1.7778830545415e-22	99.5644594956101
