"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"oxaliplatin"
"sample_543"	2.47751123666605e-22	2.39823087709273e-19	0	0	0	0	0	0	112.153170538289	0	134.846829461711
"sample_55"	6.51796790760635e-21	6.30939293456295e-18	0	0	0	0	5.35981720549035	90.5841626995339	36.415112949365	0	129.640907145611
"sample_742"	9.36099946628761e-20	9.06144748336641e-17	32.6799639612108	0	0	0	0	0	51.438588059702	60.3750337756486	119.506414203439
"sample_901"	6.27173231063421e-19	6.07103687669392e-16	0	0	0	0	35.626737809254	0	0	0	103.373262190746
"sample_149"	2.65415370408972e-17	2.56922078555885e-14	7.15412767745231e-28	1.4912347442445e-23	20.4013896598488	2.0852294040947e-22	4.88403175095792e-29	160.053094374801	99.5206100927995	7.66277667077898e-37	112.024905872551
"sample_41"	2.78148784732521e-17	2.6924802362108e-14	0	0	0	0	0	75.856848843409	17.2934384176046	0	109.849712738986
"sample_587"	7.1725153637605e-17	6.94299487212016e-14	0	0	29.5603415069957	0	0	0	80.2916408764709	0	115.148017616533
"sample_226"	2.89483556604275e-16	2.80220082792938e-13	0	0	0	0	0	0	0	28.6551266266248	87.3448733733752
"sample_977"	4.12935841777588e-16	3.99721894840705e-13	0	0	16.3109641978046	0	0	0	140.323671047111	0	99.3653647550846
"sample_102"	5.09588448620147e-16	4.93281618264302e-13	0	0	0	0	0	65.4938446346777	124.236292065357	0	125.269863299966
"sample_570"	5.14850445559625e-16	4.98375231301717e-13	53.4726899889248	7.12430578056234e-27	1.62428510564128e-28	1.43694947803118e-27	2.74385340659432e-23	51.4075805593635	180.164817135499	5.86356306808555e-28	127.954912316213
"sample_170"	5.3086816079667e-16	5.13880379651177e-13	0	0	0	0	0	44.0383127787703	75.0289219263369	0	124.932765294893
"sample_458"	8.51317450530455e-16	8.24075292113481e-13	0	0	0	0	0	0	87.6177070479101	0	87.3822929520899
"sample_969"	1.94336534315059e-15	1.88117765216977e-12	0	0	0	0	0	0	105.628302315475	0	118.371697684525
"sample_127"	5.97201776927766e-15	5.78091320066078e-12	0	0	0	0	0	1656.71492846466	0	0	149.285071535337
"sample_479"	1.05440273048491e-14	1.02066184310939e-11	51.2836289682665	0	0	0	0	80.7122376712554	251.228575863795	0	147.775557496683
"sample_435"	1.19884038655968e-14	1.16047749418977e-11	0	0	0	0	0	0	106.696823719055	0	105.303176280945
"sample_321"	1.5645339099126e-14	1.5144688247954e-11	0	0	0	0	0	94.1935205495356	0	0	106.806479450464
"sample_631"	2.26572750989539e-14	2.19322422957874e-11	0	56.7932823056837	0	0	0	44.7188178598189	43.641317336831	0	101.846582497666
"sample_436"	2.67642158385312e-14	2.59077609316982e-11	26.0644763896569	54.7771698185131	9.38985330751668e-25	1.28838566407516e-24	1.45576816328885e-23	1.78792974494538e-24	73.2481550838691	0.0785689114545887	111.831629796506
"sample_911"	3.81582016922601e-14	3.69371392381078e-11	85.0237387411405	0	0	0	0	0	187.621620491365	0	170.354640767495
"sample_179"	4.11850933781418e-14	3.98671703900412e-11	0.428340541929998	18.1101595748606	2.65556205507053e-20	1.09986623525386e-22	6.17059233662983e-21	2.59526885075583e-20	98.7625679422723	11.8088339052776	101.89009803566
"sample_9"	1.26414783595887e-13	1.22369510520819e-10	8.4221756816146e-23	7.35204417197159e-23	36.4061324548511	39.7810384341133	2.71251034397554e-22	86.8579097143477	125.367685709682	5.17193536988517e-23	126.587233687006
"sample_518"	1.90626085312609e-13	1.84526050582605e-10	2.17177250822642e-23	1.57018175389767e-23	2.16219145963591e-21	46.9399829617566	1.50906029930618e-24	269.225168259514	74.5977848186451	2.62182612346724e-23	128.237063960084
"sample_597"	2.66284797020597e-13	2.57763683515938e-10	0	0	0	0	8.66032207211518	0	151.642169701621	0	124.697508226264
"sample_239"	2.72738662489544e-13	2.64011025289879e-10	0	0	26.9641055985673	0	9.77469674521385	46.3905566051448	0	16.6320050693806	109.238635981693
"sample_269"	4.03298769963375e-13	3.90393209324547e-10	105.581925443089	30.6900440065884	29.0697641549485	0.34642991761373	28.7144214753234	67.9787794736468	64.6511061017582	3.09074550642716e-22	120.967529427032
"sample_648"	4.43937328654101e-13	4.2973133413717e-10	0	0	0	0	195.103394842966	79.0490154102037	81.6891629864186	43.838236245748	86.3201905146635
"sample_400"	5.93429354094463e-13	5.74439614763441e-10	136.818121171335	0	0	0	0	156.847448198757	61.1712068670461	0	114.163223762861
"sample_555"	6.3003394471803e-13	6.09872858487053e-10	1.14337587163548e-20	21.3175216021621	13.7095118790968	6.1445701497148e-22	3.32911505464686	217.079634641083	70.9058967488604	1.85393806041302e-20	133.658320074151
"sample_734"	7.93677308635867e-13	7.68279634759519e-10	90.6167004454706	0	17.1272183770757	0	0	162.506398279363	312.028768759973	0	150.720914138118
"sample_48"	2.28239550473312e-12	2.20935884858166e-09	129.776719127981	0	0	0	0	0	0	0	99.2232808720192
"sample_551"	2.40887554676218e-12	2.33179152926579e-09	0	80.8669189438635	0	0	0	0	83.6719118885509	28.2437470805541	86.2174220870316
"sample_917"	2.65678888749011e-12	2.57177164309043e-09	0	0	37.8291028132494	0	0	71.2183090205858	73.9631410581761	0	94.9894471079887
"sample_795"	3.18353132449578e-12	3.08165832211191e-09	0	0	0	0	0	137.78258098088	56.590770966349	0	104.626648052771
"sample_801"	3.51194074710138e-12	3.39955864319413e-09	0	0	76.8684765110321	112.227428278581	0	0	0	0	146.904095210387
"sample_401"	3.81709948940477e-12	3.69495230574382e-09	0	0	0	56.932549996531	0	0	29.8633879085668	0	105.204062094902
"sample_975"	4.06140151386941e-12	3.93143666542559e-09	0	0	0	0	0	100.165534421765	52.2178167805163	0	120.616648797718
"sample_892"	4.10958286370236e-12	3.97807621206388e-09	147.108831731376	41.7686239322372	3.33787971416446e-22	2.9006724538662e-21	1.15771612247489e-21	79.1840772721424	52.8596703991006	1.34887707400013e-21	133.078796665144
"sample_326"	4.41294408766332e-12	4.27172987685809e-09	0	0	0	0	48.3234799970165	54.3204290289714	131.458188138285	22.7588258144638	103.139077021264
"sample_586"	4.51055310250123e-12	4.36621540322119e-09	0	0	23.5687940795089	54.4577401485717	0	40.959883592251	0	17.751610135376	99.2619720442924
"sample_244"	5.69991752474891e-12	5.51752016395695e-09	0	204.373264067338	153.253143596067	0	0	67.3515241454126	0	0	140.022068191183
"sample_867"	6.10225223518996e-12	5.90698016366388e-09	2.62746618598666e-21	1.25200794440918e-20	4.33155419132693e-28	5.13785980341483e-22	22.9586042348728	123.819440801113	462.498742197688	0.273352743491273	132.449860022835
"sample_225"	6.45174756589075e-12	6.24529164378225e-09	32.580797252278	0	51.5224742844692	0	0	65.870604088866	39.907594165211	102.138791510221	113.979738698955
"sample_181"	6.7956186675863e-12	6.57815887022354e-09	0	78.1059965231607	0	0	0	83.4724801453003	59.6992269408552	0	120.722296390684
"sample_111"	7.61223724176051e-12	7.36864565002418e-09	0	0	0	0	0	501.882956031629	72.1191085881986	0	168.997935380172
"sample_960"	8.69128027425176e-12	8.41315930547571e-09	215.388614824673	0	0	0	0	0	291.056821142152	0	149.554564033175
"sample_959"	8.70358357884447e-12	8.42506890432144e-09	0	0	0	0	0	396.0796693872	132.872395851987	0	114.047934760812
"sample_529"	9.21583037359778e-12	8.92092380164265e-09	0	54.8032546321218	0	0	0	115.235378128645	256.874417164847	0	146.086950074386
"sample_315"	9.3602593069687e-12	9.0607310091457e-09	48.4181333489107	0	153.243851339316	0	0	0	102.413689713014	0	147.924325598759
"sample_689"	1.201385011973e-11	1.16294069158986e-08	0	0	90.6851772176056	0	0	73.7439759752551	94.3448833003281	202.221538026992	99.0044254798189
"sample_690"	1.24513857330189e-11	1.20529413895623e-08	0	52.4987351182507	0	0	0	0	61.1760117820951	0	91.3252530996542
"sample_584"	1.29478663925601e-11	1.25335346679982e-08	0	0	0	0	0	208.031813117489	107.916484592844	22.5924583612766	94.4592439283905
