"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"oxaliplatin"
"sample_181"	0.00011724821410669	0.114317008754023	24.9996338935958	1.06297338116255e-19	6.00990009656506e-31	7.52561469495115e-23	1.2495415161446e-29	9.2130749936387e-32	122.576960546545	13.8920603349595	27.5313452249
"sample_749"	0.000174488725460172	0.170126507323667	42.6273908437431	0	96.0581622447155	0	0	85.4322620212282	76.1335012598415	0	43.7486836304717
"sample_974"	0.000201344260761845	0.196310654242799	0	60.8068146512798	0	0	0	0	0	0	31.1931853487202
"sample_527"	0.000227594300072746	0.221904442570927	3.48629715731473e-32	6.62014795262903e-31	3.49889351807045e-30	1.05381045816727e-30	5.59430722164201e-30	2.23772288865738e-29	0.139997218071403	9.75683099486506	15.1031717870635
"sample_845"	0.000384192514965546	0.374587702091408	56.6733832399467	0	1.23294688272517e-27	4.5631453132044e-44	2.75494716870589e-23	65.0285952674465	6.51447124223229e-24	2.36782971145488e-28	25.2980214926068
"sample_997"	0.000580968554572367	0.566444340708058	0	0	63.6668226147181	0	18.4911444126227	55.6269527732974	0	0	37.2150801993618
"sample_708"	0.000723182829342513	0.70510325860895	1.92247047933483e-23	1.54731829834692e-23	5.43266060768307e-23	1.75001050694294e-23	41.3750650393712	82.0321372774634	109.393055087213	46.7965438922683	24.4031987036845
"sample_496"	0.00142117191236297	1	0	0	0	0	0	50.4310131082563	52.2188201499225	0	20.3501667418212
"sample_886"	0.00145980015993115	1	0	0	0	78.3927663430713	0	65.8062956065536	0	0	50.8009380503751
"sample_370"	0.00168245552039351	1	4.18403160567383e-30	1.55355029760289e-29	37.892865082886	27.6512566369352	6.59467229903285e-29	135.918127305971	0	8.88021210573305e-24	24.5377509742082
"sample_600"	0.00224853335076517	1	1.79074532668134e-22	82.3109620376136	3.95100688011579e-22	4.0887078471921e-30	1.01219475033223e-24	7.33035102491146e-22	202.698550642155	3.1344719408477e-23	28.9904873202309
"sample_117"	0.00229005896119807	1	99.4811273149624	0	64.3795755346812	0	0	89.8781326663245	92.3647066931522	0	45.8964577908797
"sample_195"	0.00238694740991726	1	311.257891516429	0	0	0	0	429.458038818958	83.5523820860456	0	77.7316875785671
"sample_22"	0.00310452306536814	1	67.5789612437957	0	0	35.5856768410067	21.2225102069666	261.222314045939	74.6991894166893	0	50.6913482456026
"sample_624"	0.00378388725006853	1	1.17323026188257e-38	1.27391811348613e-29	34.7370272174295	9.83092946986924e-28	5.63600999473629e-29	131.678926937102	70.8018375319705	2.81800499745783e-29	18.7822083134983
"sample_608"	0.00384134749461741	1	0	0	0	0	0	316.221383912687	145.543074667658	0	40.2355414196543
"sample_320"	0.00472191809762737	1	0	0	0	38.4156523708024	0	0	119.121080606598	0	25.4632670225996
"sample_555"	0.00641754178335285	1	4.14365905791564e-21	1.65312756462806e-28	3.25021905212624e-21	1.42961769903043e-21	1.23100658277488e-23	416.456056288883	66.6593120661322	7.02839526360232e-27	23.8846316449853
"sample_251"	0.0069129355801796	1	0	112.560135236847	0	0	11.528822572468	53.5980443982502	55.502175568809	0	26.8108222236259
"sample_240"	0.0069623634881959	1	33.8598009876684	0	0	75.317008662488	0	60.3663401646972	62.9676809459863	0	51.4891692391602
"sample_588"	0.00732017008870692	1	0	0	0	0	0	500.959967993737	126.121407078785	0	39.9186249274786
"sample_276"	0.00751324687349656	1	0	99.9018724311774	0	0	0	625.535697753538	85.8577258393872	0	54.7047039758969
"sample_778"	0.00885229444661236	1	0	55.6909102829748	0	0	0	831.950018711987	151.38847779382	0	48.9705932112183
"sample_798"	0.00896319014732163	1	9.14969461137545e-23	1.2164916319994e-22	3.7633309823177e-22	5.89944052520271e-23	1.68439431216675e-22	314.230635961491	90.6795745895849	38.0424931842732	22.0472962646504
"sample_544"	0.00937666068061334	1	0	66.7664944119129	0	38.6674790317742	0	116.560243762099	0	0	32.005782794214
"sample_531"	0.00958257908277046	1	0	0	48.5415135106209	0	13.7893095371135	232.058329878586	76.3344162830845	79.9000242836619	27.3764065069328
"sample_646"	0.0105358395108135	1	0	164.378527077628	0	0	0	314.915990460794	0	43.8492603744688	48.8562220871087
"sample_841"	0.0129101320734476	1	67.9879869495165	107.533388965764	156.139283247866	1.72398191542055e-21	6.93375444201694e-22	89.8649823409113	131.218670674871	84.0447839760288	60.2109038450434
"sample_295"	0.0135931171325639	1	0	175.424945397079	0	0	21.4478644197914	134.533352361394	67.243551773502	53.8864786964796	29.4638073517533
"sample_851"	0.0137140199090851	1	101.121315668975	0	0	58.0513716400766	0	323.816316791572	179.616813717591	0	54.3941821817861
"sample_942"	0.0139916570408306	1	97.443938889319	43.5429387666627	0	0	13.1306538607839	235.204662667499	310.735372963364	2182.58012543937	71.3623074129977
"sample_792"	0.0145482592880116	1	8.19373184013701e-22	137.614821595315	7.49575948625545e-22	2.93783413020767e-23	1.26192878363297e-22	64.2816134327824	152.294972319076	2.30060946853014e-22	22.8085926528269
"sample_271"	0.0151801288615128	1	88.7640905335133	3.52066635617528e-24	0.436266310649841	6.18324118956925e-27	7.28432270532265e-25	66.4236608178834	6.5795152046879e-25	6.54739772307867	24.8285846148748
"sample_603"	0.0160331804521362	1	0	0	0	0	0	0	52.99433077102	0	17.00566922898
"sample_61"	0.0160420597264787	1	7.34065749098948e-22	143.402305918371	9.16459174712291e-24	379.217851690178	1.07435517088985e-21	103.807351172916	92.4669621803247	1.02852034434498e-21	63.1055290382102
"sample_896"	0.0161585508201588	1	0	0	32.7930440242801	0	0	0	42.383952808873	0	20.8230031668469
"sample_909"	0.0167093307539031	1	168.586240031997	0	0	0	0	0	40.3318964079416	0	34.0818635600612
"sample_70"	0.0167497259840877	1	0	0	0	49.0073040875348	0	178.206928741685	127.994623254036	157.772549352709	32.0185945640358
"sample_373"	0.0168828659555626	1	129.421002473774	1.52298421491571e-22	6.7881904482028e-23	13.3233513519109	2.47065336021593e-22	1.31718461247916e-22	1.43761974074358e-22	1.63493048096247e-22	18.2556461743147
"sample_68"	0.0173195589651718	1	111.575160669078	139.790013329699	1.25185599747056e-22	53.3500840801272	12.9397586528248	190.330409365353	2.26266557348219e-20	1.54711513257412e-20	52.0145739029187
"sample_440"	0.0177076151338377	1	90.3753014022429	40.2038532690381	135.890770710636	0	0	0	138.820841372356	61.8229627445338	44.8862705011936
"sample_540"	0.0177209101308825	1	0	0	197.411200642213	0	0	274.860392913522	0	0	43.7284064442642
"sample_515"	0.0180474049328839	1	159.693835222798	4.8956517974254e-21	6.80329347694851e-28	3.94355820104738e-30	1.00153016958073e-21	37.7900640083262	115.694404341171	2.24957991261083e-28	23.821696427705
"sample_960"	0.0192854263444429	1	29.3218224562704	0	29.1867766941659	0	96.202470778082	0	24.8596039198588	0	17.4293261516228
"sample_81"	0.019540098014019	1	69.5022574886121	4.94946619785123e-31	2.35951775644298e-26	46.3334287741441	1.49833187597196e-28	72.7529297124957	76.1334944200683	58.2633475075255	27.0145420971543
"sample_217"	0.021113459216993	1	694.45161040029	0	0	0	0	247.320514619931	104.3979599985	0	89.8299149812796
"sample_313"	0.021590452526146	1	74.377181735739	0	58.4624662414686	0	0	0	193.381889959017	0	32.7784620637753
"sample_229"	0.0216210778690722	1	99.5184962651444	0	0	0	0	110.375208814418	152.918334705402	0	35.1879602150359
"sample_23"	0.0224629958829537	1	0	0	0	0	0	63.7996448509398	0	0	12.2003551490602
"sample_120"	0.0229254379317033	1	98.4212377021722	0	0	36.4350949000795	0	0	232.881823105367	0	30.2618442923813
"sample_460"	0.0239195442004053	1	66.2483207069245	7.05970647390441e-22	5.96013109939991e-22	40.1235908931645	3.81780684537602e-23	118.305718253719	128.945658665215	13.47385850991	30.9028529710672
"sample_607"	0.0243727961871683	1	0	0	0	0	6.49484044683506	0	210.249803479506	0	31.2553560736588
"sample_759"	0.0245461226839194	1	0	0	0	0	12.102155305028	14.0408037259247	47.3813252692946	15.9334738862069	22.5422418135458
"sample_83"	0.0250686699370083	1	5.79154229649795e-22	2.21885435971503e-21	1.13825190441216e-21	154.866766494312	2.19834415796158e-21	1.20430979904002e-21	274.045455269541	0.49141080822187	34.5963674279256
"sample_304"	0.0251369833384226	1	196.306698120688	1.70843801314449e-23	2.32439395629053e-19	71.412619596187	2.36027846400609e-22	74.3267968050656	70.0029195486451	3.8595386802691e-22	33.9509659294146
"sample_348"	0.0254117224285066	1	1.29970583618266e-23	115.37976015268	5.63041707277693e-22	5.17894263622793e-24	7.00953174748484e-23	173.962600145026	92.1613008037136	1.29460814725643e-23	25.4963388985804
"sample_4"	0.0256445996717154	1	47.3349044193933	0	0	0	0	0	101.020266364748	0	29.6448292158587
"sample_752"	0.0261322497663996	1	0	0	209.952903926509	45.7419442496999	0	138.886387862049	0	0	26.418763961742
"sample_962"	0.0262918696972625	1	461.259950681502	108.580908814104	99.0546221340759	0	41.347242079897	183.971913621161	89.8351180974121	0	65.9502445718488
"sample_635"	0.026459912103778	1	0	57.5412007050338	0	0	0	167.556284656756	122.016062944618	0	40.8864516935922
"sample_180"	0.0268082448148074	1	1.3580528254448e-22	1.6699122095545e-21	43.7925543383732	1.48710924629638e-24	2.46591362098303e-22	154.549959717105	83.075637300875	2.04446579620061e-22	12.5818486436466
"sample_485"	0.0271197957784638	1	156.46507568715	0	156.328294592026	57.4245404408607	0	500.799177789423	0	0	49.9829114905402
"sample_308"	0.0284230960675554	1	0	0	0	0	0	229.619303982732	0	0	14.3806960172675
"sample_446"	0.0285230486849403	1	97.2502301419547	60.7831382312023	0	0	262.624339101367	192.868942456059	201.853126178626	0	39.6202238907916
"sample_135"	0.0287361657772038	1	0	0	0	0	1.66940374544041	79.0794462042356	459.494639399963	0	25.7565106503605
"sample_249"	0.0295926794430971	1	0	89.7387098646339	0	0	0	0	130.411982591233	0	23.8493075441328
"sample_855"	0.0298836680488412	1	0	0	79.5896175169811	43.3764997507162	0	63.744772118278	176.504261434506	0	27.7848491795191
"sample_28"	0.0300169071205273	1	856.337346642172	0	0	0	0	192.814603690791	275.727183743234	0	55.1208659238019
"sample_261"	0.0301757024891476	1	185.560466579139	0	0	0	0	0	92.6279893342224	0	26.8115440866382
"sample_774"	0.0305412810920692	1	143.352018440051	492.928615986528	0	138.563719410785	0	0	67.755651727687	0	99.3999944349499
"sample_762"	0.0306653756399912	1	0	0	0	0	0	55.468566711044	35.6685886688109	308.111633725592	20.7512108945526
"sample_342"	0.0311695774711302	1	0	0	87.2438995774949	0	5.18022773610233	0	127.72182783031	0	16.8540448560929
"sample_100"	0.0313761914085483	1	0	0	0	36.8505530085499	0	0	55.2361022384889	76.110938893582	23.8024058593792
"sample_590"	0.0340321220507793	1	233.872514796603	65.0316485621086	2.58800216339794e-22	1.93416101686464e-22	3.79622191951576e-22	92.9617017014291	1.53529099237271e-22	17.6210949100963	28.5130400297635
"sample_933"	0.0359034909982085	1	130.916222953098	9.59587104622075e-23	4.82036861391931e-24	4.23054569608063e-21	20.0930566290471	196.131656884521	1.21733542957726e-22	6.54180964167231e-23	18.8590635333334
"sample_677"	0.0360200944440213	1	0	0	0	0	83.0602841846996	105.28154014664	68.1729424317816	100.932746326235	27.5524869106436
"sample_374"	0.0370157634286319	1	0	0	0	0	0	351.660643844215	133.764659738263	0	24.5746964175219
"sample_839"	0.0374641386672903	1	73.699039946799	0	0	32.5561292882377	0	107.573231579958	48.9441581940209	0	27.2274409909848
"sample_476"	0.0382922824273992	1	6.89750112900536e-21	346.418051781212	6.71433177810776e-21	192.870436960107	1.84196195904285e-21	686.073997566276	206.991686564885	23.2282430353804	67.417584092139
"sample_228"	0.0385891633741734	1	0	0	0	598.685855439104	10.4363987943718	151.69968771892	89.7724663869892	0	53.4055916606146
"sample_652"	0.0388580175734075	1	2.42734614550158e-22	85.2436693499899	97.7321684638783	4.17654556902297e-23	5.03311622457396e-22	794.32370299002	116.059073193315	1.45113260399087e-22	20.6413860027966
"sample_633"	0.0395877071965898	1	0	82.0296320504572	261.356568686891	82.1539196963313	0	0	90.6383517288614	0	37.8215278374589
"sample_188"	0.0395936258869786	1	83.2974836297066	0	0	43.6700117755315	0	0	197.024087857045	0	38.0084167377168
"sample_808"	0.0418554333418808	1	0	31.005688278727	57.6783972373874	0	0	405.522760196271	243.003787908206	0	31.7893663794085
"sample_553"	0.0426490936820899	1	1.35993831840289e-29	23.0775099282365	1.13872509752281e-26	88.2367342523019	1.06965901694256e-23	424.974458015284	123.535308498158	17.1928815208538	37.9831077851656
"sample_721"	0.0443291215649941	1	0	44.4490766346026	0	0	0	277.499298847219	217.409761127127	0	29.6418633910514
"sample_87"	0.0453614613510143	1	0	52.7181943844192	80.29798227795	0	17.272458998714	354.538610294296	503.131411084826	0	58.0413429597952
"sample_43"	0.0461711626569661	1	0	0	0	0	0	63.5802232727657	162.821438303978	0	13.598338423256
"sample_5"	0.0469412256849521	1	3.92405182198676e-23	8.8235226815251e-21	1.71290985911977e-22	4.25012600611335e-21	19.5380467128349	731.147424702637	269.444710241015	4.82853268103035e-22	21.869818343513
"sample_786"	0.0486695684844137	1	0	0	0	0	0	85.2794390148399	220.719342924202	20.6509335971778	31.3502844637804
"sample_720"	0.050737944024039	1	0	74.7542371738458	0	0	0	214.088821592001	197.627899225383	12.106628442713	33.4224135660575
"sample_950"	0.052155152053175	1	125.665757687565	0	50.9666491801382	0	0	68.2274993173027	162.129372187702	0	31.0107216272924
"sample_807"	0.0531739092865668	1	0	0	11.3655847600372	0	0	157.312549268009	44.9337958501097	0	27.3880701218437
"sample_283"	0.0550179554498746	1	0	0	0	0	0	195.24179709735	60.6386114971931	0	19.1195914054568
"sample_495"	0.0560632764296977	1	30.2188025235313	0.378503186562682	10.1063012066497	4.0376805721412e-23	1.96129464678927e-24	40.6076127495241	64.9271237237599	3.20793683872489e-23	13.7616566099723
"sample_418"	0.0564434016704027	1	0	0	0	1182.91283781045	72.1626191671979	350.74071893115	0	0	159.183824091207
"sample_399"	0.0565525787292145	1	0	0	309.834451606292	73.4027986127769	0	382.948056101948	184.391097054576	0	52.4235966244063
"sample_196"	0.0566276831706321	1	0	46.7140393696549	0	80.9506943011054	0	104.983661061381	187.962394188627	0	39.3892110792315
"sample_549"	0.0574058108877794	1	0	46.0537635349153	0	0	0	0	77.2908947490043	18.4641098225117	20.1912318935687
"sample_550"	0.0585815734585504	1	87.8201509038559	0	0	0	0	488.189887302408	58.9899617937357	0	0
"sample_832"	0.0587754744994933	1	2.26195554706207e-23	42.7069740245232	4.62625504612265e-23	1.18691967173645e-24	6.86104060550174e-24	4.18566961459952e-23	85.8810008314061	1.66432244768077e-25	12.4120251440707
"sample_455"	0.0589132178360412	1	1.13086164863886e-22	21.075590319825	2.67255401387229e-22	6.09531552175069e-24	5.90189378959808e-23	357.432390846451	58.4425315504332	2.29790567485942e-22	11.049487283291
"sample_592"	0.0590961062815437	1	117.963386636948	1.18087782685788e-27	2.6635203750673e-29	92.7887409662629	2.01299214627347e-21	110.970223620243	93.524706302418	2.29297684014666e-28	22.7529424741285
"sample_537"	0.0598315528383207	1	0	0	52.6159059984284	0	0	636.157055971217	243.151777634046	0	31.0752603963086
"sample_332"	0.0603388812176561	1	0	0	0	0	0	463.878617710958	86.1213822890424	0	0
"sample_32"	0.0609755309517251	1	0	229.180380050314	0	0	2.27770013866035	68.0187213021038	183.588960321464	26.9342381874573	0
"sample_601"	0.0613418111904492	1	0	0	0	418.402933091902	0	208.822266003099	64.7980540582658	0	48.9767468467332
"sample_506"	0.061897653350475	1	0	83.2307896828259	0	0	0	155.227204891545	86.2075431162464	13.2851814237878	67.0492808855949
"sample_317"	0.0621268987871764	1	0	75.6968482412188	0	0	0	1712.46000392926	65.4223359444506	0	70.4208118850663
"sample_456"	0.0624869229420068	1	192.42717673907	116.183863713669	0	0	9.5297256689636	314.311591116109	240.620292192987	44.9273505692015	0
"sample_340"	0.0625466407342219	1	0	175.289611898674	42.5191261098668	0	27.5463567690062	24.6440123681759	0	0	19.0008928542773
"sample_452"	0.0627968299407696	1	0	0	0	97.6509777397875	0	255.690665877415	39.84160394463	14.1104934579943	27.7062589801732
"sample_874"	0.0636365930777313	1	2182.71561391969	0	249.624426903069	0	0	0	329.783781299121	0	109.876177878121
"sample_940"	0.0639803123075241	1	49.6799635017221	0	0	0	0	441.289375983189	0	0	24.0306605150885
"sample_498"	0.0643432944281134	1	35.4514888672399	9.73091988386755e-23	6.27154707006939e-20	9.21257159816047e-23	3.5689101585575e-22	8.1825717107644e-23	177.482054094632	133.108067947771	13.958389090357
"sample_791"	0.0654630397419092	1	7.19331147146209e-21	169.569266604888	45.4397077452518	2.08161709982558e-22	134.040325440019	2.29363594149266e-23	598.277977897381	31.1786612550989	33.4940610573615
"sample_822"	0.0658322122486754	1	251.113989543961	52.0209069854178	25.3436892621765	0	0	146.001051318169	292.260488806781	16.259874083494	0
"sample_591"	0.0663123060844523	1	0	136.340296776583	0	41.3436455499658	0	41.6995716037185	413.616486069733	0	0
"sample_60"	0.0668330225893411	1	306.046578908423	52.1242752969286	132.644822215776	0	0	0	190.463791647371	122.720531931501	0
"sample_417"	0.067433491658164	1	155.525546820679	0	0	0	0	177.06507955364	210.098662151055	0	31.3107114746256
"sample_297"	0.0674406023662099	1	135.153202492688	0	0	37.3666517698791	0	76.192641972175	156.751640199026	0	32.5358635662328
