"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS17b"
"sample_96"	7.14110229840278e-19	6.90544592255549e-16	0	0	0	20.9854205779261	8.44092393603446	0	0	0	37.5736554860394
"sample_648"	3.57959464008439e-17	3.4614680169616e-14	0	0	0	0	0	0	48.2829749774286	0	28.7170250225714
"sample_68"	1.302287021964e-16	1.25931155023919e-13	154.143827537695	0	0	0	0	0	55.3468155987544	0	48.5093568635504
"sample_520"	8.19661685114882e-14	7.92612849506091e-11	178.873494727155	16.3332259617036	2.88652479053035e-25	2.74836395535999e-21	1.00503742588221e-24	107.088866180985	40.649323283814	2.23973744795859e-25	35.0550898463423
"sample_700"	1.17182261933442e-13	1.13315247289639e-10	0	0	0	0	0	47.8481525629682	40.3001632587445	56.4440259682394	30.4076582100479
"sample_668"	1.44485270798449e-13	1.397172568621e-10	7.41416624524517e-24	2.02987764071545e-23	8.88137702465296e-24	5.17238554155786e-24	7.85013366954509	9.28738683084233e-24	53.8235302184167	2.38656915843492	30.9397669536033
"sample_887"	1.49066952079732e-13	1.441477426611e-10	26.9066262374526	0.198172677170448	5.22230718386262e-30	8.0918050784622e-21	2.42838788314654e-23	16.0698603818853	1.40702106693e-28	4.83041303908799e-29	23.8253407034917
"sample_111"	1.85533640816458e-13	1.79411030669515e-10	58.6582346826028	105.747102002653	0	0	0	0	378.163735158772	0	45.4309281559731
"sample_205"	5.08925037803937e-13	4.92130511556407e-10	0	0	0	0	0	0	39.0211102096869	0	29.9788897903131
"sample_330"	5.39268269714361e-13	5.21472416813787e-10	0	0	0	0	0	207.700539584909	216.827484229204	0	39.4719761858867
"sample_940"	5.83341747898946e-13	5.64091470218281e-10	48.9502273108934	0	0	0	0	0	161.934001648519	8.29721346407034	36.8185575765168
"sample_398"	1.10660759635357e-12	1.07008954567391e-09	0	0	0	0	0	505.269273299887	0	7.46659303825275	40.2641336618606
"sample_22"	2.16939939867532e-12	2.09780921851903e-09	25.7377034042598	0	0	0	0	0	0	19.4431039740594	23.8191926216808
"sample_694"	2.49639006017295e-12	2.41400918818724e-09	61.2771918049835	0	81.9764110674264	0	0	88.1692080465229	46.9008821718113	0	48.6763069092559
