"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS17b"
"sample_753"	3.33290599391512e-31	3.22292009611592e-28	0	61.5630881318265	0	0	0	0	0	24.4745293514486	64.9623825167249
"sample_640"	8.10102418529798e-29	7.83369038718315e-26	0	55.322484026494	0	0	0	82.1184032186558	55.3777303395625	96.4064761537825	60.7749062615053
"sample_376"	1.75742440647082e-25	1.69942940105729e-22	0	0	0	0	0	0	75.3028047447295	0	68.6971952552705
"sample_713"	4.67043934361886e-23	4.51631484527944e-20	37.4730168709087	0	0	0	0	0	234.19210391262	0	79.3348792164714
"sample_148"	5.66158822578209e-23	5.47475581433128e-20	0	0	0	0	0	136.400213214724	0	0	67.5997867852757
"sample_929"	3.03498781423523e-22	2.93483321636547e-19	128.494359961237	4.89828718746469e-22	6.07606320524845e-22	1.57076869459846e-21	4.26723217978727	1.84541519403724e-22	1.49697541528115e-22	17.1129161635208	55.1254916954545
"sample_99"	1.54549625468289e-21	1.49449487827835e-18	100.7241586364	0	0	31.4025207448088	0	0	0	0	61.8733206187915
"sample_459"	2.21431649289065e-21	2.14124404862525e-18	58.2435623273203	1.69241831873343e-21	8.27713510116643e-23	4.76410501978e-22	7.25239598847622e-22	180.687214195156	131.632165107823	244.025540381035	56.4115179886652
"sample_303"	2.70819226606098e-21	2.61882192128097e-18	0	0	0	0	39.4293277532298	0	269.21655287816	100.501748788662	61.852370579948
"sample_368"	2.17221528710785e-20	2.10053218263329e-17	0	0	0	0	0	0	36.475158011807	10.2326945479726	62.2921474402205
"sample_456"	4.75639551091134e-20	4.59943445905127e-17	0	0	29.5910992846047	0	45.2663084579326	37.8378157539857	59.0371424405771	341.999714856498	53.2679192064016
"sample_644"	5.07733325184758e-20	4.90978125453661e-17	253.95057932008	60.2017562430218	8.74704668805525e-23	8.40859341446233e-22	34.2494849521656	471.083262442144	97.7120965563532	9.96533511445613e-22	64.8028204862346
"sample_177"	2.46001784775928e-19	2.37883725878323e-16	0	0	0	0	0	305.731647077005	191.455408079624	0	77.812944843371
"sample_178"	2.98959723634567e-19	2.89094052754626e-16	75.3794136987061	4.98973267551351e-24	5.23338809604337e-21	2.56462695511341e-21	24.1579549016818	107.711054651526	392.562587972457	2.65779998761044e-21	62.1889887756288
"sample_806"	5.02901128539018e-19	4.8630539129723e-16	0	24.5671437659436	0	0	0	444.237363451579	84.6194152245274	0	78.5760775579503
"sample_903"	5.29446250495544e-19	5.11974524229191e-16	0	0	0	0	0	234.858307280477	53.8071426617187	7.16212142397846	68.1724286338263
"sample_573"	8.61601986372995e-19	8.33169120822686e-16	0	0	0	0	74.938948643178	86.2921691097572	129.65633030065	0	68.1125519464148
"sample_835"	1.26823049351399e-18	1.22637888722803e-15	0	11.5281830396469	0	0	7.81018604948268	33.0830679453581	124.369859027098	80.0383384347656	47.1703655036485
"sample_251"	1.90578749353109e-18	1.84289650624457e-15	0	0	0	0	16.1608314934983	0	0	1190.35439399191	56.4847745145914
"sample_865"	3.75043224441409e-18	3.62666798034842e-15	128.699054269052	40.47332908754	0	0	0	165.302189053008	105.173639614355	0	59.3517879760447
"sample_749"	4.1886782562788e-18	4.0504518738216e-15	64.1117716291088	27.6689851129639	0	0	0	242.670760279452	52.0717603248118	76.6433479832614	48.8333746704023
"sample_664"	5.97223688562458e-18	5.77515306839897e-15	2.34315445933609e-31	2.75579324643742e-29	4.29055918241386e-21	84.4550563782842	4.09718040760335e-20	67.8047397709107	8.0963734417894e-29	7.19086196546919e-23	59.7402038508051
"sample_568"	6.08184621542143e-18	5.88114529031253e-15	0	26.4526320890646	0	0	0	219.53142959057	73.748334412052	0	53.2676039083136
"sample_769"	6.18783940550453e-18	5.98364070512288e-15	115.36694808114	32.7758492049266	0	0	17.0292784229448	0	42.4794134487463	0	53.3485108422423
"sample_839"	6.50802235660659e-18	6.29325761883858e-15	183.830980157327	0	0	0	0	0	102.917420203044	0	63.251599639629
