"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"oxaliplatin"
"sample_122"	8.04998248140224e-05	0.0783263295440438	2.15881069708107e-22	9.62292398231658e-23	4.44528033692622e-22	2.89423600330951e-22	4.65396124312007e-23	2.65194179654583e-23	132.995614649629	27.4984005742028	25.5059847761679
"sample_870"	0.00411666604341146	1	0	0	0	0	11.828122736952	230.688319961022	247.941292853268	44.3636618391204	33.1786026096374
"sample_350"	0.00460137673580133	1	0	0	0	0	0	77.3336637601345	0	0	15.6663362398655
"sample_223"	0.00468318752584455	1	148.044041903471	0	0	0	0	112.740141007586	64.7297787620107	0	49.4860383269316
"sample_785"	0.00469225177226251	1	0	0	0	0	0	134.282503828964	44.7220878555493	0	21.995408315487
"sample_979"	0.00519563207395466	1	4.02853413736238e-22	6.97649119442686e-24	24.6542992527404	1.91443813896586e-21	4.5172358233605e-23	221.478355385603	34.2377377326755	0.35618301159599	14.2734246173853
"sample_188"	0.00647119369685502	1	0	0	204.858057468213	0	20.3834201950506	1216.15365091261	272.496755621438	29.7985705031984	114.309545299488
"sample_82"	0.00670924789319497	1	60.1210264168315	0	0	0	42.0134300786718	245.545595386507	211.183031516914	0	37.1369166010751
"sample_511"	0.00786484686579692	1	0	22.6744780342507	0	0	0	134.147202007678	678.372963981285	0	57.8053559767863
"sample_518"	0.0092293582988511	1	0	0	0	0	0	101.516034309946	0	0	13.4839656900541
"sample_43"	0.010526116337184	1	1.41192396306514e-23	2.75655384675919e-22	26.9007691622735	1.95343058249989e-22	1.01516400414172e-23	43.7493176734289	39.4005014898346	1.95301158450969e-23	14.949411674463
"sample_138"	0.0114666020098108	1	64.028212611261	0	0	0	0	546.558131754614	200.840440751005	0	36.5732148831203
"sample_388"	0.0116277312906566	1	0	0	0	0	47.4477599299568	72.2413006586913	0	0	19.3109394113519
"sample_288"	0.0141169301944989	1	139.466342002326	0	84.0414562184156	0	0	0	402.946594097528	0	69.5456076817311
"sample_435"	0.0150355658467009	1	158.422098741876	0	0	93.8836739976489	864.950580560318	0	86.9777978359818	0	47.765848864175
"sample_160"	0.0156940432894042	1	32.0767604280436	0	0	0	0	27.1906499001341	38.4983032495855	0	21.2342864222369
"sample_266"	0.0162098621970723	1	162.657743385366	0	0	0	0	893.769656052561	281.32017613458	0	64.2524244274934
"sample_822"	0.0178720882042397	1	0	23.6810326509975	0	0	0	160.614467473722	71.6068604001067	153.304741465748	37.7928980094247
"sample_327"	0.0180858841146403	1	0	0	0	0	0	189.24552148669	127.811865635969	0	51.9426128773413
