"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS31"
"sample_572"	1.2185244580348e-24	1.18196872429376e-21	0	0	0	0	0	0	33.665073482114	0	124.334926517886
"sample_800"	6.3981713676076e-24	6.20622622657937e-21	0	0	0	0	0	0	100.607780884063	0	122.392219115937
"sample_83"	2.05420376768525e-23	1.99257765465469e-20	0	0	0	0	0	0	109.004315806403	0	120.995684193597
"sample_49"	2.70876710125388e-21	2.62750408821627e-18	0	0	0	32.8690259800829	0	0	99.155569303671	0	118.975404716246
"sample_844"	5.8270602444011e-19	5.65224843706906e-16	0	0	0	0	0	33.3853034316295	37.3068342744268	80.1439142497604	124.163948044183
"sample_776"	1.11308621313997e-18	1.07969362674577e-15	0	0	0	0	0	0	87.3063221848046	0	96.6936778151954
"sample_405"	8.42069414299311e-18	8.16807331870332e-15	0	0	0	0	6.15513443422007	0	88.8878082952328	55.5363693250277	118.420687945519
"sample_44"	1.07656734657332e-17	1.04427032617612e-14	0	0	0	0	0	0	36.4322142124219	0	82.5677857875781
"sample_80"	1.08484961874948e-17	1.05230413018699e-14	0	0	0	32.7306888164402	0	46.1650927290045	153.481501961305	0	118.62271649325
"sample_143"	1.82540619559193e-17	1.77064400972417e-14	0	0	0	0	0	0	74.9705611031168	14.6061892683713	125.423249628512
"sample_586"	2.16840445528993e-17	2.10335232163124e-14	42.5861609188829	1.68348539564766e-24	31.5331104884975	79.1461802899537	2.52023358075409e-23	5.19627386928071e-22	65.8711935521808	1.93321968900309e-22	127.863354750485
"sample_353"	2.72033977335436e-17	2.63872958015373e-14	0	0	35.124158846501	0	0	0	0	0	84.875841153499
"sample_411"	4.83793743704464e-17	4.6927993139333e-14	0	0	0	0	0	47.9862818384568	37.9335747625633	0	133.08014339898
"sample_664"	5.50914907553177e-17	5.34387460326582e-14	0	0	27.0304891851172	0	47.8479949483537	32.3260873613635	0	0	127.795428505166
"sample_277"	2.42337303236154e-16	2.3506718413907e-13	0	0	85.8107419989961	50.3606036569818	19.8234811952278	0	0	0	118.005173148794
"sample_251"	1.01555237078209e-15	9.85085799658623e-13	0	44.4389455964711	0	34.0333877423042	0	0	47.3126127822205	0	108.215053879004
"sample_606"	1.05266463842062e-15	1.021084699268e-12	25.0505622386029	0	0	0	0	0	125.619352142969	0	121.330085618428
"sample_672"	2.08869360933076e-15	2.02603280105084e-12	0	0	0	0	0	0	73.8928507848736	16.6237359754065	93.48341323972
"sample_547"	2.11550457149922e-15	2.05203943435424e-12	0	0	61.5352684210367	87.0518203390321	0	0	171.659151698033	0	120.753759541898
"sample_271"	2.29196691771051e-15	2.22320791017919e-12	0	0	0	0	22.6320771838328	50.5674664493562	118.486623929786	92.0270568533725	118.286775583652
"sample_737"	2.92186242463103e-15	2.8342065518921e-12	0	101.507647587194	0	0	0	0	0	0	94.4923524128065
"sample_53"	4.44354124711147e-15	4.31023500969812e-12	77.8998105635363	0	0	0	0	0	161.109445374547	0	123.990744061916
"sample_112"	7.68576612538333e-15	7.45519314162183e-12	1.10104892561524e-22	82.6324646788762	3.14465998795323e-22	0	8.85137943550743e-29	1.31539639403239e-21	168.676098258519	9.03321176865382e-23	101.691437062605
"sample_521"	9.80391975211214e-15	9.50980215954877e-12	0	0	75.7121675500571	0	0	54.8807325554388	0	0	98.4070998945041
"sample_22"	1.00940247806652e-14	9.79120403724526e-12	0	0	0	74.7401343980075	0	0	101.231046681652	0	68.0288189203407
"sample_42"	1.1837550658658e-14	1.14824241388983e-11	0	0	0	33.5798139510964	12.6052444159446	128.50932481547	111.528032756691	21.6074998389778	166.17008422182
"sample_244"	1.71881355981821e-14	1.66724915302366e-11	30.5145977258644	0	0	141.460618203978	0	0	78.8776406136974	0	124.14714345646
"sample_525"	1.98114044407514e-14	1.92170623075289e-11	0	27.5996762418655	476.274869117511	0	44.4665437983089	0	124.338594106228	0	146.320316736087
"sample_98"	1.9859502269427e-14	1.92637172013442e-11	0	0	0	155.879523315985	0	0	48.6415613726273	0	96.4789153113876
"sample_840"	2.33727172834975e-14	2.26715357649925e-11	0	34.3649144519056	0	0	0	0	18.5003569692078	0	95.1347285788866
