"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS17b"
"sample_135"	0.00395844919871047	1	201.534936713152	0	0	0	0	77.6011402164019	105.710017678075	39.506934890575	17.6469705017967
"sample_10"	0.00626749559476184	1	770.403005650699	0	0	0	0	89.6927262049944	0	0	9.90426814430629
"sample_108"	0.00717586870205663	1	69.5141528212495	15.8757523123211	7.76576131083134e-22	1.62192213582142e-22	2.05744351357087e-22	144.297212519775	1.28515220210895e-22	1.55885116239524e-22	5.31288234665406
"sample_580"	0.00791791976254091	1	2.44772749768036e-20	51.1043692301011	3.39306544538191e-21	4.22809433493281e-21	4.41342756533178	94.5199628034261	120.392628764683	3.12744417674024e-21	6.56961163645818
"sample_986"	0.00806789883905858	1	0	45.9208175535938	0	74.6911348142746	0	73.6221783259851	104.841701349927	0	24.9241679562193
"sample_252"	0.0114291206928246	1	123.658852837748	0	0	0	0	157.466253320762	179.066812151516	0	7.80808168997405
"sample_362"	0.0132205981311145	1	0	0	0	0	22.8192255855516	80.7707888755511	86.8329332398812	80.1458814543024	5.43117084471373
"sample_434"	0.0135254070992491	1	55.9986439613851	8.81942466789624	0	0	0	33.8968730456376	69.1912805700946	0	5.09377775498651
"sample_992"	0.0149249093500689	1	8.36540240103687e-22	3.71097240275067e-26	38.3445612026502	31.60324800071	3.20762757759254e-23	708.817226450519	74.0820344222223	9.69926724242517e-23	17.1529299238985
"sample_398"	0.0173700619124424	1	63.4397109601317	0	0	0	0	189.672391774002	241.569907683975	75.4291882767391	8.88880130515242
"sample_869"	0.0181172465634857	1	0	63.1291455956894	35.9354228451478	149.626624577899	7.8792970712115	734.95581581824	104.546950811105	21.3545780405088	24.5721652401988
"sample_459"	0.0184786439676625	1	0	0	0	61.7734675351661	0	418.33946742493	252.752547400612	0	14.1345176392919
"sample_753"	0.0206376072194849	1	181.432638118311	0	0	0	0	332.506619366603	151.457081560862	0	10.6036609542234
"sample_713"	0.0224943427995728	1	124.215575186231	0	50.5838377317993	50.3828731962819	0	137.890766273374	0	21.7138972251525	19.2130503871607
