"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS17b"
"sample_284"	4.23423806662382e-26	4.11567940075835e-23	0	15.9183323188091	0	0	0	0	22.7689697848875	0	53.3126978963034
"sample_827"	3.53579617663784e-22	3.43679388369198e-19	35.5550983855224	1.47685096656419e-21	1.86051070368608e-24	2.77562061059664e-28	1.0496084481689e-23	144.007253550202	70.9419557822118	3.87907991696675e-23	55.4956922820636
"sample_103"	1.10906537758051e-21	1.07801154700826e-18	81.8802564637824	0	0	0	7.21995077612735	50.1118634878331	38.3957837650791	0	57.3921455071781
"sample_870"	6.23963625506557e-21	6.06492643992373e-18	0	0	0	0	13.6337524337895	117.339123911141	58.219135292262	0	58.8079883628079
"sample_137"	7.68720737356927e-21	7.47196556710933e-18	96.2859935559858	0	0	0	0	108.952935344999	28.1898453380177	0	61.5712257609973
"sample_379"	8.5306754943557e-21	8.29181658051374e-18	0	0	0	0	0	37.2923512689914	55.3470155028489	33.3494350457767	48.011198182383
"sample_297"	4.84917359609189e-20	4.71339673540132e-17	54.6392258346093	4.99512434106454e-26	2.71977738057975e-30	5.3909917106901e-30	2.19876378854915e-29	1.1873628621661e-29	2.19997781385218e-25	1.54933737917911e-29	46.3607741653907
"sample_735"	4.90593247516944e-20	4.76856636586469e-17	0	0	0	0	0	0	117.078525096484	0	50.9214749035157
"sample_773"	1.77179832226276e-19	1.7221879692394e-16	32.7485280322387	0	0	0	0	88.3343635797554	0	0	33.9171083880059
"sample_7"	4.81163201088022e-19	4.67690631457557e-16	257.361001628505	0	0	0	0	181.58893652502	63.3117483751177	62.7986309651475	52.9396825062096
"sample_556"	6.06315900419583e-19	5.89339055207835e-16	48.5382388687755	36.6749504911731	1.20796937087359e-26	2.30873146008215e-24	5.09806431498099	91.1178852186071	180.376043090585	5.15021003909409	61.0446079767838
"sample_752"	2.35024352224253e-18	2.28443670361974e-15	4.54933302258133e-23	7.18649541551463e-23	1.03633770612955e-28	2.23582089345189e-29	2.89237128368503e-27	470.26142352418	2.2810888343519e-23	2.92230362673799e-21	50.7385764758204
"sample_281"	2.55509155126021e-18	2.48354898782493e-15	106.058254482285	41.1764257114359	0	0	0	0	291.886188658657	11.8490041957521	93.0301269518699
"sample_957"	3.44356576321859e-18	3.34714592184847e-15	0	0	0	0	0	144.005284169284	0	12.6016354435017	44.3930803872148
"sample_703"	6.90830926785541e-18	6.71487660835546e-15	42.326700580255	0	0	0	0	0	273.816774215636	0	57.8565252041085
"sample_342"	9.67494972064179e-18	9.40405112846382e-15	57.0174111293285	0	0	0	0	0	109.603718673494	0	53.3788701971774
"sample_401"	2.87044271208759e-17	2.79007031614913e-14	0	0	0	0	0	110.984970245237	45.4485682586009	0	41.5664614961625
"sample_437"	3.19009153162815e-17	3.10076896874256e-14	0	43.5386611575266	0	0	0	133.559387838495	36.6253919315747	0	60.2765590724035
"sample_675"	1.10095021880798e-16	1.07012361268135e-13	1.24630593511667e-30	76.5254710400761	1.57003040082376e-29	49.09460783157	1.25490793926965e-22	79.2242086678365	49.1475105512544	7.9878701032357e-22	56.008201909263
"sample_102"	2.27797569599579e-16	2.2141923765079e-13	0	0	0	0	0	47.6568659412249	397.698191187279	0	76.6449428714962
"sample_295"	2.78522665085348e-16	2.70724030462959e-13	78.1612253497565	0	0	0	0	293.790427673496	85.8527374904501	0	57.1956094862975
"sample_120"	4.4387447068866e-16	4.31445985509378e-13	305.103064440658	0	0	0	0	66.30006544769	115.218921840131	17.3254827651831	71.0524655063376
"sample_2"	4.51601511245549e-16	4.38956668930673e-13	0	0	0	0	19.1276570359641	38.9312528725527	163.450285042112	75.8567419266973	43.6340631226739
"sample_978"	5.26863000965219e-16	5.12110836938193e-13	0	0	0	0	0	493.809698390368	133.994023473351	0	66.1962781362807
"sample_427"	5.39722548784652e-16	5.24610317418682e-13	75.4572975691111	0	0	0	0	0	0	0	37.5427024308889
"sample_540"	9.99440466237886e-16	9.71456133183226e-13	0	10.1412690233844	0	0	0	453.741085265193	131.143581923506	7.20484109050042	71.7692226974165
"sample_687"	1.00088017933926e-15	9.72855534317763e-13	79.8263024088616	0	0	0	0	0	72.168927918849	0	40.0047696722894
"sample_421"	1.09699000778111e-15	1.06627428756324e-12	88.4160445787411	0	0	32.5195736212119	33.0811763836711	0	45.5368781994352	81.6797043455586	53.7666228713821
"sample_813"	1.25299292629905e-15	1.21790912436267e-12	73.3003291517973	54.0825889781932	0	0	0	146.741531390587	113.878401204398	25.6723311279636	53.3248181470607
"sample_149"	1.67925904732055e-15	1.63223979399558e-12	102.048579673444	24.1937954494237	0	0	0	0	30.5068298312098	0	58.2507950459222
"sample_79"	2.05394545852712e-15	1.99643498568836e-12	0	0	0	0	0	275.289176119331	32.5763360105803	0	53.1344878700886
"sample_656"	2.70195362171295e-15	2.62629892030499e-12	278.296215439823	100.222536373547	7.59157973418076e-23	1.21939270445435e-20	4.69196775007159e-22	529.840533123945	2.14992014546604e-22	14.2433671222886	70.3973479403963
"sample_885"	2.92714029800708e-15	2.84518036966288e-12	0	30.1123958102187	0	0	0	406.120351127742	199.899034448925	0	71.8682186131137
"sample_830"	3.7138133818745e-15	3.60982660718201e-12	0	0	20.3773230442319	0	0	0	79.1944987930493	48.138719069072	38.2894590936468
"sample_859"	3.71880279136745e-15	3.61467631320917e-12	0	0	0	0	0	127.266463668766	116.681074829439	0	49.0524615017952
"sample_160"	4.74703877425125e-15	4.61412168857222e-12	147.953690419318	0	0	0	0	87.5137698735307	129.201419028676	0	39.3311206784755
"sample_753"	5.74132373205318e-15	5.58056666755569e-12	0	0	0	0	0	0	92.4982359900389	0	40.5017640099611
"sample_654"	5.98424159144537e-15	5.8166828268849e-12	0	0	0	0	33.2249966186692	0	182.065716888422	38.9043256689156	43.8049608239936
"sample_968"	6.53412304190598e-15	6.35116759673261e-12	0	0	14.9063980625091	0	7.73646152141395	0	30.7295107498935	0	48.6276296661834
"sample_37"	7.48873300444872e-15	7.27904848032416e-12	114.742750671171	0	0	0	0	0	55.0190670265942	12.5010346059868	45.7371476962482
"sample_998"	8.71508797761233e-15	8.47106551423918e-12	170.238991800319	0	0	0	0	0	135.226071041718	46.1968976229317	55.3380395350309
"sample_463"	9.33929750258389e-15	9.07779717251155e-12	0	0	0	0	0	345.824559467108	88.7427903485382	0	52.4326501843537
"sample_648"	1.27756074581876e-14	1.24178904493584e-11	0	0	0	0	0	216.469770506277	31.7539297347719	17.5082512428255	43.2680485161253
"sample_406"	1.48096212665873e-14	1.43949518711229e-11	58.9924900640881	0	0	0	0	78.0223632364117	0	144.415914291847	59.5692324076528
"sample_561"	1.69123442122741e-14	1.64387985743304e-11	2.40683172586931e-24	3.2855933781033e-22	3.0054485370655e-39	1.48122573946033e-24	2.54976249334342e-23	220.098759574617	92.6817292862824	24.9305747694058	48.2889363696948
"sample_36"	1.71744242011231e-14	1.66935403234916e-11	176.590011337095	0	0	0	0	112.405982401524	296.494417958091	29.1842109118695	61.3253773914197
"sample_146"	1.98121801088655e-14	1.92574390658173e-11	0	0	0	0	7.25672643885192	72.3261844083609	199.464997793738	95.4483965548122	40.5036948042369
"sample_85"	2.09158821462324e-14	2.03302374461379e-11	0	41.1213076715326	0	0	0	366.080280832272	0	20.9662115099065	49.8321999862886
"sample_420"	2.10480265732003e-14	2.04586818291507e-11	0	37.2433164809765	41.0012805235628	0	0	112.558228679702	0	0	45.1971743157583
"sample_814"	2.27986183128796e-14	2.2160257000119e-11	144.856959170748	0	0	0	0	99.1212936036299	0	0	55.0217472256219
"sample_512"	2.29392440952585e-14	2.22969452605913e-11	0	128.855608020919	0	0	0	206.128170720845	332.282235885962	0	60.7339853722733
"sample_154"	2.36451793350263e-14	2.29831143136456e-11	0	0	0	0	0	140.285489390385	0	0	60.7145106096151
"sample_869"	2.69669382368312e-14	2.62118639661999e-11	79.8915149256734	0	0	0	3.28064560022394	63.4489895597878	119.522786435436	0	49.8560634788792
"sample_922"	2.92857650380453e-14	2.84657636169801e-11	3.75108969485488e-26	47.467484558348	1.04572560410579e-26	1.78249007532098e-26	80.6549068506183	136.797665919582	90.9193934780743	16.3454557353291	42.8150934580484
"sample_42"	3.22630939102681e-14	3.13597272807806e-11	0	0	0	82.2137724826053	21.2249232261091	143.502716026028	380.274578372322	33.9352114854775	81.848798407458
"sample_680"	3.2969669225481e-14	3.20465184871675e-11	39.1564468976708	0	0	0	0	141.431861481988	39.448930976551	6.47526656884999	48.4874940749402
"sample_344"	3.3315257835003e-14	3.2382430615623e-11	0	0	0	32.3192387855857	0	80.2818887872883	100.581739220882	0	59.8171332062437
"sample_357"	5.31177271967585e-14	5.16304308352492e-11	351.848638198269	0	0	0	0	0	411.38710935909	0	83.7642524426407
"sample_686"	8.53583133960104e-14	8.29682806209221e-11	0	0	0	0	0	0	68.1013839945429	0	34.8986160054571
"sample_396"	1.16611769834233e-13	1.13346640278875e-10	148.805171448707	0	0	56.5883059792091	388.787447967599	0	112.036839214704	0	90.7822353897815
"sample_841"	1.28083019801525e-13	1.24496695247082e-10	486.771064749405	69.9233053581014	0	0	14.9766057623888	596.894438764325	87.2141144796527	0	67.2204708861271
"sample_157"	1.87174420584982e-13	1.81933536808603e-10	225.14365101996	0	0	0	0	79.5348194285055	133.191369595313	18.7318679483088	42.3982920079129
"sample_559"	1.87654479436918e-13	1.82400154012684e-10	0	19.1136137847612	0	68.4336232906525	0	215.888362927187	97.2079262337752	57.8937224822181	62.4627512814057
"sample_715"	2.1823149557603e-13	2.12121013699901e-10	72.6457568568975	97.5150415991455	0	0	0	70.3007019272602	115.504898785699	0	58.0336008309975
"sample_276"	2.1917400628051e-13	2.13037134104655e-10	0	0	44.8459288653402	0	0	365.525068761722	227.231801894215	0	67.3972004787232
"sample_671"	2.50213523340539e-13	2.43207544687004e-10	53.8249185152979	0	0	0	0	120.188890796846	160.183094963206	0	40.8030957246493
"sample_282"	2.71831566928829e-13	2.64220283054821e-10	343.608523065178	0	0	0	0	897.132914830778	91.9412195598392	0	58.3173425442047
"sample_380"	2.72645831820925e-13	2.65011748529939e-10	0	171.675453359207	18.4922728829901	0	40.3237461528508	123.453201508268	57.413676817564	21.1774585861499	48.4641906929704
"sample_852"	2.86432009551394e-13	2.78411913283955e-10	0	0	81.4354421582841	0	38.8471816421847	82.8507153144786	224.726569048291	0	64.1400918367614
"sample_857"	3.01044563814559e-13	2.92615316027751e-10	0	0	58.1623115401121	0	0	59.8280475861917	88.0358993195809	0	59.9737415541153
"sample_470"	4.30855070479905e-13	4.18791128506468e-10	227.961298147961	0	0	0	0	263.862443307601	0	17.8530709699658	51.3231875744719
"sample_48"	4.88487058289592e-13	4.74809420657483e-10	64.5479855143088	0	0	0	0	220.387637394606	171.220759507975	0	53.8436175831104
"sample_695"	6.39436566827331e-13	6.21532342956166e-10	364.948735203039	63.5337498430044	0	0	0	88.3358741573494	37.3704709131378	0	49.8111698834694
"sample_590"	8.03561857631076e-13	7.81062125617406e-10	0	0	0	0	0	253.00977650036	222.079908271606	0	45.9103152280339
"sample_798"	9.04708661378999e-13	8.79376818860387e-10	0	0	0	47.069512602458	0	86.3953514021152	62.8818185049969	0	41.65331749043
"sample_197"	9.59508614221487e-13	9.32642373023286e-10	0	56.9228546844469	0	0	9.81901173751695	62.5074741683424	304.470233318715	0	47.2804260909791
