"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS17b"
"sample_644"	3.88223530378097e-23	3.7541215387562e-20	0	0	0	0	6.39115499024666	59.901862323384	44.4880538835559	0	79.2189288028134
"sample_399"	1.06025116641429e-22	1.02526287792262e-19	0	34.3159256781956	0	0	0	74.2867430037721	120.210061244854	0	46.1872700731788
"sample_851"	3.46028779495906e-20	3.34609829772541e-17	0	0	0	0	0	0	91.6310309220811	0	56.3689690779189
"sample_915"	6.72237909748951e-20	6.50054058727236e-17	0	0	34.6847808505068	0	23.7564973697621	56.8607620052453	0	0	65.6979597744859
"sample_249"	1.64105308201809e-19	1.58689833031149e-16	77.696871911929	0	0	0	0	164.184557747943	0	0	69.1185703401282
"sample_72"	1.69573720452522e-19	1.63977787677589e-16	96.1014722764249	0	0	0	0	265.968513545414	67.0784473684089	0	47.8515668097528
"sample_662"	6.89727627057834e-19	6.66966615364925e-16	46.5440336499436	0	0	0	0	0	0	0	48.4559663500564
"sample_52"	2.78905415043476e-18	2.69701536347041e-15	69.7976645384514	0	0	0	0	0	92.3228161696251	21.0787405094501	40.8007787824735
"sample_159"	3.27655282787086e-18	3.16842658455112e-15	0.359217595360386	110.350968959133	7.23828970067878e-23	2.33774015438067e-23	3.20226033284567e-24	159.113251574171	73.1405116427106	59.7893193660944	56.2467308625304
"sample_406"	4.42344656458218e-18	4.27747282795097e-15	1.49049372471627e-24	1.6267293075536e-23	5.49911894043485e-23	7.59295748506676e-23	2.22845893448544e-23	174.391292482119	105.577635065948	6.29006192554668	52.7410105263865
"sample_671"	4.95856308641172e-18	4.79493050456013e-15	3.72879941705757e-30	114.921011639804	6.68701618183209e-23	1.08393959512613e-21	1.64892344704845e-22	103.785973984677	2.24571789194633e-29	5.78483106409594e-29	40.2930143755198
"sample_914"	4.18203522378268e-17	4.04402806139785e-14	213.359333077564	0	0	0	0	107.802621849602	80.5613817580447	0	42.2766633147889
"sample_990"	5.81621614511068e-17	5.62428101232203e-14	54.4401241517215	16.1208374423418	0	0	0	0	89.559254540758	0	45.8797838651787
"sample_116"	6.22600692934259e-17	6.02054870067428e-14	2.35351559742989e-24	6.2001584941981e-23	30.2652762635013	3.93808297176505e-24	1.72041154879563e-24	1.30028539141594e-24	8.57984225368945e-24	0.991276193982264	41.7434475425164
"sample_237"	4.15621628601623e-16	4.0190611485777e-13	0	0	0	36.7903085113382	0	0	0	43.5852645963567	47.6244268923052
"sample_823"	5.4555007447204e-16	5.27546922014463e-13	145.813945084318	2.75471827762835e-23	5.86701438310875e-23	5.41907983047046e-23	10.8498317877354	58.8710425453602	287.669330248531	13.1660021266271	53.629848207429
"sample_179"	6.88469380163397e-16	6.65749890618005e-13	2.18392785992737e-23	8.21913947084115e-24	1.70394290199097e-22	9.43525318697351e-23	1.224693920462e-22	172.802926998204	199.924433679641	3.48288759789648e-22	56.2726393221543
"sample_628"	1.0243015325229e-15	9.90499581949648e-13	179.648258618279	0	0	0	0	111.075861870985	0	62.8231840898079	42.4526954209286
"sample_316"	1.26775532963399e-15	1.22591940375607e-12	0	0	0	0	0	113.088500813275	44.6031885174334	0	36.3083106692913
"sample_265"	1.61012640712125e-15	1.55699223568625e-12	28.2297088903712	0	0	0	0	224.656015701693	33.5810958163784	0	42.5331795915576
"sample_434"	2.06240744938052e-15	1.99434800355097e-12	0	0	0	0	0	109.271582802075	502.817936361682	16.1495763712742	58.7609044649689
"sample_612"	2.16452581528489e-15	2.09309646338049e-12	81.0669314441519	0	0	0	0	0	204.143737708797	0	53.789330847051
"sample_43"	9.13836189720896e-15	8.83679595460106e-12	65.6377671282504	20.6184908694027	2.68630352585109e-23	9.10700493573044e-29	1.60497852020499e-23	104.833239784308	67.6725587863891	1.72262190837693e-27	47.2379434316502
"sample_17"	1.04402683049749e-14	1.00957394509107e-11	0	97.238789440692	0	0	43.0478689039941	273.045473361269	161.825478158484	0	54.8423901355619
"sample_320"	1.14766457440196e-14	1.10979164344669e-11	345.656418978192	0	0	0	17.3816803947147	0	22.5858204960322	67.8866461397014	42.4894339913596
"sample_77"	2.77268275351841e-14	2.68118422265231e-11	59.3476553700444	8.89229579182505e-23	4.93046346981028e-23	8.46665705712026e-23	1.02388756160045e-22	187.282206240872	234.324609406658	32.7701165156318	45.2754124667937
"sample_133"	2.9339858437112e-14	2.83716431086873e-11	1.08493698494886e-21	374.451664261408	5.94403526200727e-22	5.13095855296133e-22	21.4413122823745	2.36200282014701e-23	220.791272330626	33.1948773781198	66.1208737474717
"sample_893"	3.18971364799309e-14	3.08445309760932e-11	86.4368816952656	0	0	0	77.5652164484688	246.222919895952	0	0	40.7749819603141
"sample_790"	3.8756862741028e-14	3.74778862705741e-11	78.1647997938073	0	0	0	0	61.6042727288484	84.346274758459	0	44.8846527188853
"sample_329"	4.78748973383856e-14	4.62950257262189e-11	192.863211322095	1.37229774189285e-25	8.47934781651054e-29	4.51709045501662e-23	1.94534264396868e-37	71.1208776485415	30.2094775436779	1.53881480935579e-28	36.8064334856854
"sample_867"	7.19174388434637e-14	6.95441633616294e-11	75.3680348737506	0	0	0	0	92.9174732330094	19.2432552499998	0	27.4712366432401
"sample_162"	7.64046100864165e-14	7.38832579535647e-11	49.6219795066752	26.6187778513193	0	0	0	145.508199818432	42.0545317501724	77.7891233453299	46.4073877280709
"sample_864"	8.35986790880973e-14	8.08399226781901e-11	0	96.6836773201393	0	0	21.4757609647739	0	126.632159369856	0	50.2084023452303
"sample_872"	9.18866934647037e-14	8.88544325803684e-11	374.6411405648	0	0	0	9.65339904600856	169.40708651136	57.9332993505274	0	46.3650745273031
"sample_668"	1.07489411911572e-13	1.0394226131849e-10	0	0	0	0	0	0	8.69886912591996	0	38.30113087408
"sample_255"	1.28814424106473e-13	1.24563548110959e-10	93.5197827953298	0	0	0	0	79.8392312154809	37.2969223823726	14.39237318059	33.9516904262266
"sample_707"	1.7924130138701e-13	1.73326338441239e-10	0	0	0	0	0	0	407.790486741496	0	43.2095132585037
"sample_998"	1.97205461070151e-13	1.90697680854836e-10	0	0	0	0	0	11.4473979224855	111.97066450596	14.2117947725636	45.3701427989906
"sample_793"	2.56675776437828e-13	2.4820547581538e-10	8.55999625469622e-23	1.60371522121184e-23	17.0295746973718	2.97132139986446e-23	10.429383036636	9.10559322696699e-22	194.107828657113	7.43565497487645e-30	42.433213608879
"sample_926"	3.0978362367192e-13	2.99560764090747e-10	0	0	0	0	0	500.708850905291	121.462042524603	0	56.8291065701054
"sample_908"	3.18102193816423e-13	3.07604821420481e-10	0	0	0	0	0	0	107.482546977784	0	28.5174530222157
"sample_775"	3.61550373284764e-13	3.49619210966367e-10	18.7309778044171	15.3731601058545	0	0	0	0	116.555495203481	0	51.3403668862473
"sample_818"	3.80335259280602e-13	3.67784195724342e-10	106.327496836805	0	19.8119821917352	0	0	208.647744641824	0	26.8142050468942	39.3985712827417
"sample_455"	4.66355331532932e-13	4.50965605592345e-10	127.071812837746	0	0	0	0	96.3286974888987	144.655481956182	0	55.9440077171732
"sample_476"	5.10217634533582e-13	4.93380452593974e-10	0	34.7074473219823	0	0	0	105.878955444592	245.031903007592	0	52.381694225834
"sample_378"	5.48550314163388e-13	5.30448153795996e-10	0	0	0	0	0	0	75.2282084613455	0	30.7717915386545
"sample_310"	5.94652128252399e-13	5.7502860802007e-10	105.111020236969	0	0	0	0	94.0967051009719	172.793242074814	0	48.999032587246
"sample_957"	6.05750333193503e-13	5.85760572198118e-10	129.760311042636	0	0	0	0	0	102.275574325554	21.9797057999155	45.9844088318942
"sample_303"	8.56521835648152e-13	8.28256615071763e-10	0	48.6223064617847	0	27.055552831567	12.6768900986236	130.654110335333	51.4156185799748	0	44.5755216927173
"sample_97"	8.79004975071758e-13	8.4999781089439e-10	1.10058153071953e-23	2.49419867822189e-24	2.17244948426579e-24	9.78395313267978e-23	35.4439914811591	36.1477055500602	78.7668062134446	5.93073091893858e-23	36.6414967553362
"sample_229"	8.92708208005839e-13	8.63248837141646e-10	104.436051653426	0	0	34.2738308765885	0	0	108.166787935101	266.443961614585	47.6793679202984
"sample_643"	9.43249957078178e-13	9.12122708494598e-10	0	0	0	0	1.74963452373874	0	45.320378152647	0	31.9299873236143
"sample_901"	1.26587942675383e-12	1.22410540567095e-09	0	0	0	0	0	570.090649848431	191.487838556515	0	61.421511595054
"sample_87"	1.34038836813097e-12	1.29615555198265e-09	33.7313451968807	105.308236329358	44.2894615876846	0.431609791729423	2.57036451011498e-22	2.81038689713002e-21	46.6256056408628	144.640856791492	43.9728846619924
"sample_27"	1.47867065853327e-12	1.42987452680167e-09	73.502671773956	0	0	35.30814088848	0	165.801325327518	68.6107348055556	0	61.7771272044904
"sample_507"	1.65146086914131e-12	1.59696266045964e-09	194.336980535522	140.90189086466	1.46267183863997e-21	1.78869515846513e-21	2.9356520681196e-21	235.654251736373	60.1123795179924	30.4064428768998	47.5880544685525
"sample_126"	1.76777665588435e-12	1.70944002624016e-09	0	59.4389507513688	0	0	32.3511234875671	110.171997885929	30.5818185245656	0	41.4561093505698
"sample_331"	2.78246654783785e-12	2.6906451517592e-09	210.969049448182	1.46547169788326e-23	3.2710898235771e-24	2.68922483703698e-23	1.80283420265495e-23	8.82945984284832e-24	289.421147369444	2.64264416547878e-24	43.6098031823735
"sample_336"	2.8396417056241e-12	2.7459335293385e-09	208.273168277801	0	0	0	0	0	30.5522338873533	84.5760269373942	38.5985708974515
"sample_919"	2.99261114545631e-12	2.89385497765625e-09	367.339027935777	0	0	31.6332977582581	0	0	122.380644970786	28.352180338473	51.2948489967065
"sample_379"	3.03505753128435e-12	2.93490063275196e-09	113.658809945335	0	0	0	0	221.121947036665	0	0	32.2192430179998
"sample_44"	3.68980096288921e-12	3.56803753111386e-09	0	0	0	0	0	349.314099219031	53.6155812684268	0	47.0703195125419
"sample_496"	4.157303949317e-12	4.02011291898954e-09	19.1778436049817	1.1492437075824e-22	4.54274899063861e-25	80.6655142306052	2.54967285259531e-22	1.37763398174207e-23	67.6029029139512	100.120572884534	51.4331663659276
