"pval"	"apval"	"X1_0.98_NA"	"X2_0.98_NA"	"X3_0.99_NA"	"X4_0.94_NA"	"X5_1.0_SBS52.0.93"	"X6_1.0_NA"	"X7_0.97_SBS46.0.9"	"X8_1.0_SBS45.0.95"	"SBS31"
"sample_748"	0.00658745625661788	1	342.806653111605	0	469.484380506397	57.5017784534073	0	108.885483475213	0	89.1962773153446	100.125427138033
"sample_872"	0.00661572878474915	1	300.903230706133	0	0	0	0	0	269.340460488235	0	67.7563088056318
"sample_553"	0.00882403829836908	1	9.43696218184734e-23	98.9968457522547	1.20435584820423e-22	24.5288741227904	5.95318974760127e-22	135.10804236632	36.358484691054	7.19310117676522e-23	38.0077530675804
"sample_416"	0.00962553226541721	1	3.23155324166393e-20	1.66063949060212e-21	60.1110225603516	31.2870282922504	3.40775313223183e-21	23.4604899822512	90.6972491504867	2.16400032630749e-23	15.4442100146601
"sample_434"	0.0117484082240733	1	133.445221556977	0	0	0	0	0	128.595324993763	40.5822579232605	45.3771955260002
"sample_406"	0.0136029758280737	1	0	0	0	135.590087169886	7.46178583445761	0	110.324453751387	491.297436335315	40.3262369089543
"sample_99"	0.0171949771333014	1	0	0	0	0	0	346.412498264332	64.5443565475753	229.93063721269	34.112507975403
"sample_964"	0.0225648461367148	1	0	0	0	408.989862540205	0	0	18.0177875858068	0	22.9923498739885
"sample_549"	0.0228627423475542	1	20.7453978076779	1.46966819981458e-34	3.63503595916407e-29	2.00530537412628e-19	5.04017791816219e-29	5.85068373384502e-29	243.316568027666	1.68223455519683e-28	20.9380341646565
"sample_560"	0.0239487926529637	1	4.57940565561667e-23	5.84768646483586e-22	3.36913269476922e-22	4.80954524975159e-22	68.7293759705201	132.582721741227	368.310005765148	9.4357998733426	30.9420966497631
"sample_82"	0.025043480514379	1	1.8182434450103e-22	88.0650899241668	2.61374568982534e-16	268.610555211721	16.585882800409	2.4271556023157e-22	142.077971339048	5.30077092590827e-22	17.6605007246553
"sample_984"	0.0253335516681459	1	0	0	0	0	0	61.6367230390041	0	0	13.3632769609959
"sample_116"	0.0259873204183509	1	0	0	0	519.370044911439	13.1334645599995	155.992313358367	439.374931879367	0	47.1292452908274
"sample_223"	0.0278418813611059	1	86.4457522582299	0	0	152.101388326079	0	0	50.9126132386363	22.9029396242384	28.637306552817
"sample_427"	0.0299919504385384	1	0	252.938600685521	0	0	58.9411862389031	513.631824596381	125.278604490547	38.9426403305775	138.267143658069
"sample_339"	0.0393422805005183	1	0	0	45.1604591018432	0	0	0	0	0	7.83954089815677
"sample_720"	0.0419106254285878	1	7.28264569834284e-23	8.72886648669351e-24	1.07653446528148e-23	4.97315332326536e-24	8.33401897066643	0.226426300213777	30.9749442546411	1.62148392939892e-23	5.46461047447865
"sample_468"	0.0441728483675185	1	3.34127507753457e-28	4.52236379770392e-21	1.24649659367376e-28	3.00277994339628e-21	5.20371268415736e-19	159.070917729352	40.3710327455892	15.6838469876346	17.874202537424
"sample_242"	0.0452796095710103	1	113.727931622757	30.5304833829017	0	52.9550795417967	0	125.339904898495	108.075176746833	0	60.3714238072162
"sample_373"	0.0508853873665213	1	44.2734414127344	0	43.4384641448291	0	0	0	944.553611319944	215.734483122492	0
"sample_782"	0.0614014934603465	1	0	123.576437733958	0	0	0	808.884927964477	147.064506216221	0	83.4741280853442
"sample_129"	0.0654771019766585	1	135.845859235393	0	0	0	0	0	68.6677683935863	0	32.4863723710211
"sample_145"	0.0697379577823628	1	151.304482499957	0	0	0	3.90714208644614	67.1740699831964	54.0752269849988	73.5390784454021	0
"sample_884"	0.0705353439076867	1	0	135.956951234377	0	0	0	286.310490987975	91.7325577776474	0	0
"sample_488"	0.0718406739451648	1	1.52766451259993e-22	54.3083997605209	214.604007095149	690.245769664825	6.88353853942957e-22	4.86421764444559e-22	73.5527361182987	50.4462245291421	23.8428628320648
"sample_695"	0.0793670376177301	1	0	0	0	0	0	248.139014920328	112.085177786915	0	27.7758072927575
"sample_840"	0.0834768444290372	1	0	57.1218390524944	71.8187173330315	0	0	66.5306136131354	225.215785934286	0	24.3130440670522
"sample_477"	0.0860790553847922	1	0	0	49.1967351194571	71.9774380232948	0	566.088517051421	184.358180169983	0	83.3791296358445
"sample_577"	0.0862623865785537	1	128.737191560946	54.883463941505	0	211.647565250148	0	330.604626194425	0	0	109.127153052976
"sample_890"	0.0987944779790674	1	81.929109290059	0	0	108.529145450755	0	0	91.5417452591859	0	0
"sample_901"	0.101266770106951	1	0	73.7659937831074	35.831273195967	0	0	553.491825006919	109.89155498623	53.0193530277762	0
"sample_820"	0.101974167222172	1	0	0	0	0	0	0	133	0	0
"sample_149"	0.102116168474627	1	32.0836234709991	256.657067175874	0	0	13.0483223696325	0	117.554011590455	44.6569753930392	0
"sample_2"	0.102942053229463	1	56.7531842463503	0	0	0	0	0	0	9.24681575364969	0
"sample_352"	0.103109509778851	1	0	13.6991895396922	0	0	0	0	37.8523557896179	0	11.4484546706899
"sample_933"	0.104432426409152	1	109.240062199706	28.4399479408163	0	41.9867958446105	0	76.3154912993598	46.0944697586699	16.9232329568375	0
"sample_726"	0.108692690998784	1	52.0594546030355	33.6323047983987	32.1665581371913	0	0	0	251.897508792431	29.2441736689436	0
"sample_286"	0.109290104112413	1	0	0	0	0	120.064668993595	951.109953585079	168.211695406462	22.6136820148632	0
"sample_463"	0.110145513679203	1	104.466649195736	0	0	62.543651194383	68.65943222361	0	176.454205989139	136.605953061354	29.2701083357778
"sample_249"	0.11025938774285	1	0	0	0	0	97.1806015985522	0	245.819398401448	0	0
"sample_240"	0.114287095080991	1	0	0	0	0	0	32.2779199195398	73.7220800804602	0	0
"sample_232"	0.114321662072546	1	0	0	64.2879371981576	48.7481018365084	0	86.0022988602466	142.961662105087	0	0
"sample_837"	0.117929080034648	1	0	152.069688643148	11.4290872916972	0	0	56.7527681764492	91.7484558887053	0	0
"sample_699"	0.119117238488044	1	0	0	35.5647868507502	0	17.4111757682704	266.562749018433	88.1732398103837	8.28804855216256	0
"sample_459"	0.120864051168262	1	0	55.1345934538306	31.3806424562167	72.714485943644	7.33822487391632	30.4315303376069	148.006798876949	9.99372405783595	0
"sample_411"	0.122908768292693	1	77.1766840207836	0	0	487.657018916952	0	0	149.166297062265	0	0
"sample_469"	0.128452607935205	1	0	90.0267273695121	0	246.034884710541	27.7058591532644	180.045641956632	83.2218126807553	30.9288779569915	43.0361961723034
"sample_177"	0.130842646773607	1	0	0	0	93.50324988715	0	0	0	0	9.49675011285004
"sample_288"	0.131444594361915	1	151.45171487874	0	51.9837673210955	196.787997485968	0	131.400707605134	0	0	40.375812709062
"sample_188"	0.131449980887378	1	0	0	0	74.5289568651683	0	75.7954968035247	79.1993805712635	10.4761657600435	0
